Geography,Labour force st,Total - Age groups,  15 to 24 years,    15 to 19 years,    20 to 24 years,  25 to 64 years,    25 to 44 years,    45 to 64 years,  65 years and over
1001192,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001192,  Not in the labour force,45.0,0.0,0.0,0.0,15.0,0.0,10.0,25.0
1001192,Participation rate,43.8,0.0,0.0,0.0,62.5,0.0,50.0,0.0
1001192,Employment rate,37.5,0.0,0.0,0.0,62.5,0.0,50.0,0.0
1001192,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001203,Total - Labour force status,465.0,20.0,10.0,15.0,370.0,65.0,305.0,75.0
1001203,  In the labour force,325.0,0.0,0.0,0.0,285.0,65.0,225.0,30.0
1001203,    Employed,230.0,0.0,0.0,0.0,215.0,55.0,160.0,0.0
1001203,    Unemployed,90.0,0.0,0.0,0.0,65.0,0.0,60.0,0.0
1001203,  Not in the labour force,145.0,10.0,10.0,0.0,85.0,0.0,85.0,45.0
1001203,Participation rate,69.9,0.0,0.0,0.0,77.0,100.0,73.8,40.0
1001203,Employment rate,49.5,0.0,0.0,0.0,58.1,84.6,52.5,0.0
1001203,Unemployment rate,27.7,0.0,0.0,0.0,22.8,0.0,26.7,0.0
1001214,Total - Labour force status,50.0,0.0,0.0,0.0,35.0,0.0,30.0,0.0
1001214,  In the labour force,40.0,0.0,0.0,0.0,30.0,0.0,25.0,0.0
1001214,    Employed,30.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0
1001214,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001214,  Not in the labour force,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001214,Participation rate,80.0,0.0,0.0,0.0,85.7,0.0,83.3,0.0
1001214,Employment rate,60.0,0.0,0.0,0.0,57.1,0.0,66.7,0.0
1001214,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001225,Total - Labour force status,50.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0
1001225,  In the labour force,30.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0
1001225,    Employed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001225,    Unemployed,15.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1001225,  Not in the labour force,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001225,Participation rate,60.0,0.0,0.0,0.0,75.0,100.0,0.0,0.0
1001225,Employment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001225,Unemployment rate,50.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0
1001228,Total - Labour force status,275.0,50.0,40.0,10.0,150.0,40.0,110.0,75.0
1001228,  In the labour force,135.0,0.0,0.0,0.0,125.0,35.0,90.0,0.0
1001228,    Employed,110.0,0.0,0.0,0.0,105.0,35.0,65.0,0.0
1001228,    Unemployed,25.0,0.0,0.0,0.0,25.0,0.0,20.0,0.0
1001228,  Not in the labour force,140.0,45.0,45.0,0.0,25.0,0.0,25.0,65.0
1001228,Participation rate,49.1,0.0,0.0,0.0,83.3,87.5,81.8,0.0
1001228,Employment rate,40.0,0.0,0.0,0.0,70.0,87.5,59.1,0.0
1001228,Unemployment rate,18.5,0.0,0.0,0.0,20.0,0.0,22.2,0.0
1001281,Total - Labour force status,110.0,0.0,0.0,0.0,70.0,0.0,55.0,35.0
1001281,  In the labour force,50.0,0.0,0.0,0.0,45.0,0.0,25.0,0.0
1001281,    Employed,40.0,0.0,0.0,0.0,35.0,0.0,15.0,0.0
1001281,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001281,  Not in the labour force,65.0,0.0,0.0,0.0,30.0,0.0,30.0,30.0
1001281,Participation rate,45.5,0.0,0.0,0.0,64.3,0.0,45.5,0.0
1001281,Employment rate,36.4,0.0,0.0,0.0,50.0,0.0,27.3,0.0
1001281,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001289,Total - Labour force status,375.0,30.0,25.0,0.0,260.0,50.0,210.0,85.0
1001289,  In the labour force,200.0,0.0,0.0,0.0,190.0,25.0,165.0,0.0
1001289,    Employed,165.0,0.0,0.0,0.0,160.0,20.0,135.0,0.0
1001289,    Unemployed,30.0,0.0,0.0,0.0,30.0,0.0,25.0,0.0
1001289,  Not in the labour force,175.0,25.0,20.0,0.0,70.0,20.0,50.0,80.0
1001289,Participation rate,53.3,0.0,0.0,0.0,73.1,50.0,78.6,0.0
1001289,Employment rate,44.0,0.0,0.0,0.0,61.5,40.0,64.3,0.0
1001289,Unemployment rate,15.0,0.0,0.0,0.0,15.8,0.0,15.2,0.0
1001304,Total - Labour force status,2545.0,325.0,245.0,80.0,1685.0,655.0,1035.0,530.0
1001304,  In the labour force,1335.0,100.0,55.0,40.0,1190.0,535.0,645.0,50.0
1001304,    Employed,1200.0,85.0,60.0,30.0,1065.0,515.0,550.0,45.0
1001304,    Unemployed,135.0,10.0,0.0,10.0,120.0,25.0,100.0,0.0
1001304,  Not in the labour force,1205.0,225.0,190.0,35.0,500.0,115.0,385.0,480.0
1001304,Participation rate,52.5,30.8,22.4,50.0,70.6,81.7,62.3,9.4
1001304,Employment rate,47.2,26.2,24.5,37.5,63.2,78.6,53.1,8.5
1001304,Unemployment rate,10.1,10.0,0.0,25.0,10.1,4.7,15.5,0.0
1001308,Total - Labour force status,235.0,30.0,20.0,0.0,165.0,65.0,100.0,40.0
1001308,  In the labour force,150.0,15.0,0.0,0.0,130.0,65.0,65.0,0.0
1001308,    Employed,125.0,0.0,0.0,0.0,115.0,50.0,60.0,0.0
1001308,    Unemployed,25.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1001308,  Not in the labour force,80.0,20.0,15.0,0.0,30.0,0.0,30.0,35.0
1001308,Participation rate,63.8,50.0,0.0,0.0,78.8,100.0,65.0,0.0
1001308,Employment rate,53.2,0.0,0.0,0.0,69.7,76.9,60.0,0.0
1001308,Unemployment rate,16.7,0.0,0.0,0.0,15.4,0.0,0.0,0.0
1001321,Total - Labour force status,490.0,0.0,0.0,0.0,290.0,140.0,150.0,195.0
1001321,  In the labour force,195.0,0.0,0.0,0.0,200.0,100.0,100.0,0.0
1001321,    Employed,150.0,0.0,0.0,0.0,150.0,70.0,85.0,0.0
1001321,    Unemployed,45.0,0.0,0.0,0.0,45.0,25.0,0.0,0.0
1001321,  Not in the labour force,295.0,0.0,0.0,0.0,90.0,45.0,45.0,200.0
1001321,Participation rate,39.8,0.0,0.0,0.0,69.0,71.4,66.7,0.0
1001321,Employment rate,30.6,0.0,0.0,0.0,51.7,50.0,56.7,0.0
1001321,Unemployment rate,23.1,0.0,0.0,0.0,22.5,25.0,0.0,0.0
1001328,Total - Labour force status,120.0,0.0,0.0,0.0,75.0,0.0,70.0,40.0
1001328,  In the labour force,35.0,0.0,0.0,0.0,40.0,0.0,35.0,0.0
1001328,    Employed,35.0,0.0,0.0,0.0,40.0,0.0,35.0,0.0
1001328,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001328,  Not in the labour force,80.0,10.0,0.0,0.0,40.0,0.0,35.0,35.0
1001328,Participation rate,29.2,0.0,0.0,0.0,53.3,0.0,50.0,0.0
1001328,Employment rate,29.2,0.0,0.0,0.0,53.3,0.0,50.0,0.0
1001328,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001332,Total - Labour force status,445.0,30.0,30.0,0.0,295.0,80.0,210.0,125.0
1001332,  In the labour force,155.0,0.0,0.0,0.0,150.0,55.0,95.0,0.0
1001332,    Employed,120.0,0.0,0.0,0.0,105.0,50.0,55.0,0.0
1001332,    Unemployed,40.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0
1001332,  Not in the labour force,290.0,30.0,25.0,0.0,145.0,30.0,115.0,120.0
1001332,Participation rate,34.8,0.0,0.0,0.0,50.8,68.8,45.2,0.0
1001332,Employment rate,27.0,0.0,0.0,0.0,35.6,62.5,26.2,0.0
1001332,Unemployment rate,25.8,0.0,0.0,0.0,26.7,0.0,42.1,0.0
1001339,Total - Labour force status,1805.0,255.0,130.0,130.0,1255.0,465.0,785.0,295.0
1001339,  In the labour force,1210.0,165.0,35.0,125.0,1030.0,410.0,625.0,15.0
1001339,    Employed,870.0,65.0,0.0,55.0,790.0,340.0,450.0,15.0
1001339,    Unemployed,340.0,95.0,25.0,70.0,245.0,70.0,175.0,0.0
1001339,  Not in the labour force,595.0,90.0,90.0,0.0,215.0,50.0,165.0,285.0
1001339,Participation rate,67.0,64.7,26.9,96.2,82.1,88.2,79.6,5.1
1001339,Employment rate,48.2,25.5,0.0,42.3,62.9,73.1,57.3,5.1
1001339,Unemployment rate,28.1,57.6,71.4,56.0,23.8,17.1,28.0,0.0
1001343,Total - Labour force status,520.0,95.0,35.0,60.0,360.0,120.0,240.0,55.0
1001343,  In the labour force,315.0,40.0,0.0,35.0,265.0,105.0,160.0,0.0
1001343,    Employed,300.0,30.0,0.0,0.0,260.0,105.0,155.0,0.0
1001343,    Unemployed,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001343,  Not in the labour force,200.0,60.0,35.0,0.0,95.0,20.0,75.0,45.0
1001343,Participation rate,60.6,42.1,0.0,58.3,73.6,87.5,66.7,0.0
1001343,Employment rate,57.7,31.6,0.0,0.0,72.2,87.5,64.6,0.0
1001343,Unemployment rate,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001352,Total - Labour force status,340.0,55.0,30.0,25.0,200.0,75.0,125.0,85.0
1001352,  In the labour force,190.0,35.0,0.0,25.0,140.0,50.0,95.0,0.0
1001352,    Employed,145.0,25.0,0.0,0.0,110.0,40.0,60.0,0.0
1001352,    Unemployed,50.0,0.0,0.0,0.0,40.0,0.0,35.0,0.0
1001352,  Not in the labour force,150.0,15.0,20.0,0.0,60.0,25.0,35.0,75.0
1001352,Participation rate,55.9,63.6,0.0,100.0,70.0,66.7,76.0,0.0
1001352,Employment rate,42.6,45.5,0.0,0.0,55.0,53.3,48.0,0.0
1001352,Unemployment rate,26.3,0.0,0.0,0.0,28.6,0.0,36.8,0.0
1001361,Total - Labour force status,580.0,60.0,25.0,35.0,380.0,190.0,190.0,140.0
1001361,  In the labour force,320.0,35.0,0.0,25.0,275.0,135.0,140.0,0.0
1001361,    Employed,290.0,30.0,0.0,0.0,255.0,130.0,125.0,0.0
1001361,    Unemployed,25.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0
1001361,  Not in the labour force,260.0,20.0,20.0,0.0,105.0,55.0,55.0,130.0
1001361,Participation rate,55.2,58.3,0.0,71.4,72.4,71.1,73.7,0.0
1001361,Employment rate,50.0,50.0,0.0,0.0,67.1,68.4,65.8,0.0
1001361,Unemployment rate,7.8,0.0,0.0,0.0,5.5,0.0,10.7,0.0
1001370,Total - Labour force status,3880.0,560.0,290.0,270.0,2550.0,900.0,1645.0,770.0
1001370,  In the labour force,2040.0,240.0,155.0,95.0,1755.0,830.0,930.0,40.0
1001370,    Employed,1770.0,190.0,140.0,50.0,1545.0,735.0,815.0,35.0
1001370,    Unemployed,270.0,50.0,10.0,45.0,210.0,95.0,115.0,0.0
1001370,  Not in the labour force,1840.0,320.0,140.0,180.0,795.0,75.0,720.0,725.0
1001370,Participation rate,52.6,42.9,53.4,35.2,68.8,92.2,56.5,5.2
1001370,Employment rate,45.6,33.9,48.3,18.5,60.6,81.7,49.5,4.5
1001370,Unemployment rate,13.2,20.8,6.5,47.4,12.0,11.4,12.4,0.0
1001379,Total - Labour force status,2775.0,395.0,185.0,210.0,1705.0,820.0,885.0,670.0
1001379,  In the labour force,1335.0,175.0,55.0,125.0,1130.0,650.0,480.0,25.0
1001379,    Employed,1005.0,115.0,50.0,65.0,865.0,450.0,415.0,25.0
1001379,    Unemployed,335.0,65.0,0.0,65.0,265.0,200.0,65.0,0.0
1001379,  Not in the labour force,1435.0,220.0,135.0,80.0,575.0,170.0,405.0,645.0
1001379,Participation rate,48.1,44.3,29.7,59.5,66.3,79.3,54.2,3.7
1001379,Employment rate,36.2,29.1,27.0,31.0,50.7,54.9,46.9,3.7
1001379,Unemployment rate,25.1,37.1,0.0,52.0,23.5,30.8,13.5,0.0
1001394,Total - Labour force status,160.0,0.0,0.0,0.0,100.0,10.0,95.0,55.0
1001394,  In the labour force,55.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0
1001394,    Employed,20.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0
1001394,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001394,  Not in the labour force,110.0,0.0,0.0,0.0,55.0,0.0,50.0,55.0
1001394,Participation rate,34.4,0.0,0.0,0.0,50.0,0.0,52.6,0.0
1001394,Employment rate,12.5,0.0,0.0,0.0,15.0,0.0,10.5,0.0
1001394,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001396,Total - Labour force status,2245.0,290.0,145.0,140.0,1575.0,540.0,1035.0,385.0
1001396,  In the labour force,1215.0,185.0,65.0,120.0,1015.0,450.0,565.0,20.0
1001396,    Employed,1005.0,145.0,65.0,80.0,845.0,375.0,470.0,15.0
1001396,    Unemployed,210.0,40.0,0.0,0.0,165.0,75.0,95.0,0.0
1001396,  Not in the labour force,1030.0,100.0,80.0,20.0,560.0,90.0,470.0,370.0
1001396,Participation rate,54.1,63.8,44.8,85.7,64.4,83.3,54.6,5.2
1001396,Employment rate,44.8,50.0,44.8,57.1,53.7,69.4,45.4,3.9
1001396,Unemployment rate,17.3,21.6,0.0,0.0,16.3,16.7,16.8,0.0
1001409,Total - Labour force status,4725.0,595.0,315.0,285.0,3295.0,1510.0,1785.0,835.0
1001409,  In the labour force,2515.0,355.0,110.0,250.0,2120.0,1195.0,920.0,40.0
1001409,    Employed,2195.0,255.0,55.0,205.0,1905.0,1055.0,850.0,30.0
1001409,    Unemployed,320.0,100.0,55.0,45.0,215.0,145.0,70.0,0.0
1001409,  Not in the labour force,2205.0,240.0,205.0,35.0,1170.0,315.0,860.0,795.0
1001409,Participation rate,53.2,59.7,34.9,87.7,64.3,79.1,51.5,4.8
1001409,Employment rate,46.5,42.9,17.5,71.9,57.8,69.9,47.6,3.6
1001409,Unemployment rate,12.7,28.2,50.0,18.0,10.1,12.1,7.6,0.0
1001415,Total - Labour force status,810.0,50.0,25.0,30.0,480.0,175.0,300.0,280.0
1001415,  In the labour force,410.0,15.0,0.0,15.0,355.0,165.0,195.0,35.0
1001415,    Employed,375.0,0.0,0.0,0.0,335.0,150.0,185.0,35.0
1001415,    Unemployed,30.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0
1001415,  Not in the labour force,405.0,35.0,20.0,15.0,120.0,15.0,110.0,250.0
1001415,Participation rate,50.6,30.0,0.0,50.0,74.0,94.3,65.0,12.5
1001415,Employment rate,46.3,0.0,0.0,0.0,69.8,85.7,61.7,12.5
1001415,Unemployment rate,7.3,0.0,0.0,0.0,7.0,9.1,0.0,0.0
1001426,Total - Labour force status,485.0,25.0,20.0,0.0,370.0,140.0,235.0,85.0
1001426,  In the labour force,225.0,0.0,0.0,0.0,215.0,75.0,140.0,0.0
1001426,    Employed,180.0,0.0,0.0,0.0,165.0,60.0,105.0,0.0
1001426,    Unemployed,50.0,0.0,0.0,0.0,45.0,15.0,35.0,0.0
1001426,  Not in the labour force,260.0,20.0,20.0,0.0,160.0,65.0,95.0,80.0
1001426,Participation rate,46.4,0.0,0.0,0.0,58.1,53.6,59.6,0.0
1001426,Employment rate,37.1,0.0,0.0,0.0,44.6,42.9,44.7,0.0
1001426,Unemployment rate,22.2,0.0,0.0,0.0,20.9,20.0,25.0,0.0
1001441,Total - Labour force status,300.0,10.0,0.0,0.0,145.0,75.0,70.0,145.0
1001441,  In the labour force,115.0,10.0,0.0,10.0,105.0,65.0,40.0,0.0
1001441,    Employed,105.0,0.0,0.0,0.0,95.0,65.0,30.0,0.0
1001441,    Unemployed,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
1001441,  Not in the labour force,185.0,0.0,0.0,0.0,40.0,10.0,30.0,140.0
1001441,Participation rate,38.3,100.0,0.0,0.0,72.4,86.7,57.1,0.0
1001441,Employment rate,35.0,0.0,0.0,0.0,65.5,86.7,42.9,0.0
1001441,Unemployment rate,13.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0
1001446,Total - Labour force status,515.0,55.0,25.0,35.0,335.0,100.0,235.0,125.0
1001446,  In the labour force,315.0,40.0,0.0,40.0,270.0,90.0,185.0,0.0
1001446,    Employed,295.0,35.0,0.0,40.0,255.0,85.0,170.0,0.0
1001446,    Unemployed,20.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0
1001446,  Not in the labour force,200.0,20.0,20.0,0.0,60.0,10.0,50.0,125.0
1001446,Participation rate,61.2,72.7,0.0,100.0,80.6,90.0,78.7,0.0
1001446,Employment rate,57.3,63.6,0.0,100.0,76.1,85.0,72.3,0.0
1001446,Unemployment rate,6.3,0.0,0.0,0.0,7.4,0.0,5.4,0.0
1001461,Total - Labour force status,600.0,75.0,40.0,35.0,470.0,155.0,315.0,60.0
1001461,  In the labour force,375.0,30.0,0.0,30.0,345.0,140.0,200.0,0.0
1001461,    Employed,345.0,30.0,0.0,30.0,305.0,110.0,200.0,0.0
1001461,    Unemployed,35.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0
1001461,  Not in the labour force,225.0,45.0,40.0,0.0,125.0,10.0,115.0,55.0
1001461,Participation rate,62.5,40.0,0.0,85.7,73.4,90.3,63.5,0.0
1001461,Employment rate,57.5,40.0,0.0,85.7,64.9,71.0,63.5,0.0
1001461,Unemployment rate,9.3,0.0,0.0,0.0,10.1,25.0,0.0,0.0
1001464,Total - Labour force status,540.0,40.0,20.0,20.0,435.0,260.0,180.0,60.0
1001464,  In the labour force,235.0,0.0,0.0,0.0,210.0,100.0,110.0,0.0
1001464,    Employed,225.0,0.0,0.0,0.0,205.0,95.0,105.0,0.0
1001464,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001464,  Not in the labour force,310.0,30.0,25.0,0.0,230.0,155.0,70.0,50.0
