Geography,Labour Force Ac,Total - Age groups,  15-19 years,  20-24 years,  25-44 years,    25-29 years,    30-34 years,    35-44 years,  45-64 years,    45-54 years,    55-64 years,  65 years and over
10001,Total - Labour force activity,69345.0,6335.0,4840.0,23280.0,4485.0,5530.0,13265.0,23095.0,13650.0,9445.0,11795.0
10001,  In the labour force,36820.0,1560.0,3480.0,18285.0,3425.0,4430.0,10430.0,13120.0,9700.0,3420.0,375.0
10001,    Employed,26175.0,875.0,2035.0,13185.0,2290.0,3190.0,7705.0,9760.0,7265.0,2495.0,320.0
10001,    Unemployed,10640.0,685.0,1445.0,5095.0,1130.0,1240.0,2725.0,3365.0,2440.0,925.0,55.0
10001,  Not in the labour force,32525.0,4775.0,1360.0,4995.0,1060.0,1100.0,2840.0,9970.0,3945.0,6025.0,11420.0
10001,Participation rate,53.1,24.6,71.9,78.5,76.4,80.1,78.6,56.8,71.1,36.2,3.2
10001,Employment rate,37.7,13.8,42.0,56.6,51.1,57.7,58.1,42.3,53.2,26.4,2.7
10001,Unemployment rate,28.9,43.9,41.5,27.9,33.0,28.0,26.1,25.6,25.2,27.0,14.7
10002,Total - Labour force activity,54275.0,5385.0,3720.0,18760.0,3370.0,4385.0,11010.0,18590.0,11465.0,7130.0,7815.0
10002,  In the labour force,28220.0,1205.0,2380.0,14035.0,2390.0,3345.0,8305.0,10425.0,7990.0,2435.0,175.0
10002,    Employed,19805.0,645.0,1305.0,9785.0,1540.0,2205.0,6035.0,7935.0,6140.0,1800.0,135.0
10002,    Unemployed,8415.0,560.0,1080.0,4250.0,845.0,1135.0,2265.0,2490.0,1850.0,635.0,40.0
10002,  Not in the labour force,26050.0,4180.0,1335.0,4730.0,975.0,1045.0,2705.0,8165.0,3470.0,4695.0,7640.0
10002,Participation rate,52.0,22.4,64.0,74.8,70.9,76.3,75.4,56.1,69.7,34.2,2.2
10002,Employment rate,36.5,12.0,35.1,52.2,45.7,50.3,54.8,42.7,53.6,25.2,1.7
10002,Unemployment rate,29.8,46.5,45.4,30.3,35.4,33.9,27.3,23.9,23.2,26.1,22.9
10003,Total - Labour force activity,58530.0,5365.0,3920.0,20150.0,3760.0,4835.0,11555.0,19615.0,11625.0,7995.0,9490.0
10003,  In the labour force,31165.0,1555.0,2550.0,15645.0,2860.0,3625.0,9165.0,11175.0,8200.0,2980.0,235.0
10003,    Employed,22560.0,1000.0,1410.0,11425.0,2070.0,2640.0,6710.0,8545.0,6320.0,2225.0,175.0
10003,    Unemployed,8610.0,555.0,1145.0,4220.0,785.0,985.0,2450.0,2630.0,1875.0,760.0,60.0
10003,  Not in the labour force,27365.0,3810.0,1365.0,4500.0,900.0,1210.0,2395.0,8440.0,3420.0,5015.0,9255.0
10003,Participation rate,53.2,29.0,65.1,77.6,76.1,75.0,79.3,57.0,70.5,37.3,2.5
10003,Employment rate,38.5,18.6,36.0,56.7,55.1,54.6,58.1,43.6,54.4,27.8,1.8
10003,Unemployment rate,27.6,35.7,44.9,27.0,27.4,27.2,26.7,23.5,22.9,25.5,25.5
10004,Total - Labour force activity,55225.0,5145.0,3925.0,19330.0,3500.0,4580.0,11260.0,18490.0,11095.0,7395.0,8330.0
10004,  In the labour force,30775.0,1360.0,2510.0,15590.0,2635.0,3765.0,9185.0,11095.0,8180.0,2910.0,225.0
10004,    Employed,21760.0,825.0,1440.0,11155.0,1710.0,2655.0,6785.0,8195.0,6185.0,2010.0,160.0
10004,    Unemployed,9010.0,540.0,1070.0,4435.0,925.0,1115.0,2400.0,2900.0,1995.0,905.0,60.0
10004,  Not in the labour force,24450.0,3780.0,1420.0,3745.0,865.0,810.0,2070.0,7395.0,2910.0,4480.0,8110.0
10004,Participation rate,55.7,26.4,63.9,80.7,75.3,82.2,81.6,60.0,73.7,39.4,2.7
10004,Employment rate,39.4,16.0,36.7,57.7,48.9,58.0,60.3,44.3,55.7,27.2,1.9
10004,Unemployment rate,29.3,39.7,42.6,28.4,35.1,29.6,26.1,26.1,24.4,31.1,26.7
10005,Total - Labour force activity,21315.0,2400.0,1910.0,9065.0,1990.0,2385.0,4690.0,6670.0,4525.0,2145.0,1275.0
10005,  In the labour force,14225.0,800.0,1325.0,7455.0,1565.0,1965.0,3915.0,4550.0,3505.0,1050.0,95.0
10005,    Employed,11510.0,585.0,965.0,6015.0,1230.0,1570.0,3220.0,3875.0,3010.0,860.0,75.0
10005,    Unemployed,2710.0,220.0,360.0,1430.0,340.0,395.0,700.0,680.0,490.0,185.0,15.0
10005,  Not in the labour force,7095.0,1595.0,580.0,1615.0,425.0,420.0,770.0,2120.0,1020.0,1100.0,1185.0
10005,Participation rate,66.7,33.3,69.4,82.2,78.6,82.4,83.5,68.2,77.5,49.0,7.5
10005,Employment rate,54.0,24.4,50.5,66.4,61.8,65.8,68.7,58.1,66.5,40.1,5.9
10005,Unemployment rate,19.1,27.5,27.2,19.2,21.7,20.1,17.9,14.9,14.0,17.6,15.8
10006,Total - Labour force activity,82855.0,7315.0,7935.0,31835.0,7025.0,7720.0,17085.0,25280.0,15380.0,9900.0,10490.0
10006,  In the labour force,52150.0,2660.0,5885.0,26650.0,5980.0,6505.0,14165.0,16280.0,11845.0,4435.0,670.0
10006,    Employed,46110.0,1950.0,4615.0,24000.0,5230.0,5840.0,12920.0,14930.0,10890.0,4040.0,615.0
10006,    Unemployed,6040.0,705.0,1265.0,2655.0,755.0,665.0,1245.0,1350.0,960.0,390.0,60.0
10006,  Not in the labour force,30710.0,4660.0,2050.0,5180.0,1040.0,1215.0,2920.0,9000.0,3535.0,5465.0,9820.0
10006,Participation rate,62.9,36.4,74.2,83.7,85.1,84.3,82.9,64.4,77.0,44.8,6.4
10006,Employment rate,55.7,26.7,58.2,75.4,74.4,75.6,75.6,59.1,70.8,40.8,5.9
10006,Unemployment rate,11.6,26.5,21.5,10.0,12.6,10.2,8.8,8.3,8.1,8.8,9.0
10007,Total - Labour force activity,77470.0,7410.0,7505.0,29160.0,6295.0,6680.0,16190.0,23535.0,14875.0,8660.0,9865.0
10007,  In the labour force,48145.0,2710.0,5610.0,24165.0,5120.0,5645.0,13395.0,15245.0,11395.0,3855.0,415.0
10007,    Employed,40890.0,1955.0,4210.0,21085.0,4440.0,4915.0,11730.0,13265.0,9990.0,3280.0,375.0
10007,    Unemployed,7255.0,755.0,1395.0,3080.0,680.0,730.0,1670.0,1980.0,1405.0,575.0,35.0
10007,  Not in the labour force,29320.0,4695.0,1895.0,4995.0,1165.0,1040.0,2790.0,8285.0,3485.0,4805.0,9450.0
10007,Participation rate,62.1,36.6,74.8,82.9,81.3,84.5,82.7,64.8,76.6,44.5,4.2
10007,Employment rate,52.8,26.4,56.1,72.3,70.5,73.6,72.5,56.4,67.2,37.9,3.8
10007,Unemployment rate,15.1,27.9,24.9,12.7,13.3,12.9,12.5,13.0,12.3,14.9,8.4
11,Total - Labour force activity,106690.0,10175.0,8750.0,37585.0,7860.0,8550.0,21180.0,33110.0,20020.0,13100.0,17070.0
11,  In the labour force,73630.0,5395.0,7730.0,33945.0,7060.0,7700.0,19180.0,24965.0,17355.0,7615.0,1590.0
11,    Employed,63935.0,4425.0,6115.0,29940.0,6160.0,6750.0,17030.0,22025.0,15575.0,6450.0,1430.0
11,    Unemployed,9700.0,975.0,1615.0,4005.0,905.0,955.0,2150.0,2945.0,1780.0,1165.0,165.0
11,  Not in the labour force,33055.0,4775.0,1020.0,3640.0,795.0,845.0,2000.0,8145.0,2660.0,5485.0,15480.0
11,Participation rate,69.0,53.0,88.3,90.3,89.8,90.1,90.6,75.4,86.7,58.1,9.3
11,Employment rate,59.9,43.5,69.9,79.7,78.4,78.9,80.4,66.5,77.8,49.2,8.4
11,Unemployment rate,13.2,18.1,20.9,11.8,12.8,12.4,11.2,11.8,10.3,15.3,10.4
11001,Total - Labour force activity,23880.0,2535.0,1875.0,8255.0,1635.0,1800.0,4815.0,7605.0,4635.0,2970.0,3615.0
11001,  In the labour force,16780.0,1280.0,1640.0,7570.0,1435.0,1720.0,4415.0,5875.0,4115.0,1765.0,420.0
11001,    Employed,14365.0,1100.0,1315.0,6530.0,1220.0,1460.0,3840.0,5070.0,3630.0,1440.0,350.0
11001,    Unemployed,2415.0,180.0,320.0,1040.0,210.0,255.0,575.0,800.0,480.0,320.0,70.0
11001,  Not in the labour force,7100.0,1255.0,240.0,690.0,200.0,85.0,400.0,1730.0,525.0,1205.0,3195.0
11001,Participation rate,70.3,50.5,87.5,91.7,87.8,95.6,91.7,77.3,88.8,59.4,11.6
11001,Employment rate,60.2,43.4,70.1,79.1,74.6,81.1,79.8,66.7,78.3,48.5,9.7
11001,Unemployment rate,14.4,14.1,19.5,13.7,14.6,14.8,13.0,13.6,11.7,18.1,16.7
11002,Total - Labour force activity,27480.0,2730.0,2105.0,9690.0,2030.0,2275.0,5380.0,8340.0,5010.0,3340.0,4615.0
11002,  In the labour force,18770.0,1465.0,1905.0,8855.0,1890.0,2035.0,4930.0,6235.0,4385.0,1850.0,305.0
11002,    Employed,15745.0,1175.0,1495.0,7455.0,1555.0,1680.0,4215.0,5345.0,3820.0,1525.0,275.0
11002,    Unemployed,3025.0,290.0,410.0,1400.0,330.0,355.0,715.0,890.0,565.0,330.0,35.0
11002,  Not in the labour force,8715.0,1260.0,195.0,840.0,140.0,245.0,455.0,2105.0,620.0,1480.0,4315.0
11002,Participation rate,68.3,53.7,90.5,91.4,93.1,89.5,91.6,74.8,87.5,55.4,6.6
11002,Employment rate,57.3,43.0,71.0,76.9,76.6,73.8,78.3,64.1,76.2,45.7,6.0
11002,Unemployment rate,16.1,19.8,21.5,15.8,17.5,17.4,14.5,14.3,12.9,17.8,11.5
11003,Total - Labour force activity,28280.0,2330.0,2900.0,9540.0,2360.0,2195.0,4990.0,8535.0,5140.0,3395.0,4975.0
11003,  In the labour force,18775.0,1340.0,2495.0,8380.0,2090.0,1905.0,4385.0,6270.0,4280.0,1990.0,290.0
11003,    Employed,16850.0,1085.0,2010.0,7630.0,1900.0,1725.0,4000.0,5855.0,4015.0,1840.0,275.0
11003,    Unemployed,1925.0,255.0,490.0,750.0,190.0,185.0,385.0,415.0,265.0,145.0,20.0
11003,  Not in the labour force,9505.0,990.0,405.0,1165.0,270.0,295.0,600.0,2265.0,860.0,1410.0,4680.0
11003,Participation rate,66.4,57.5,86.0,87.8,88.6,86.8,87.9,73.5,83.3,58.6,5.8
11003,Employment rate,59.6,46.6,69.3,80.0,80.5,78.6,80.2,68.6,78.1,54.2,5.5
11003,Unemployment rate,10.3,19.0,19.6,8.9,9.1,9.7,8.8,6.6,6.2,7.3,6.9
11004,Total - Labour force activity,27050.0,2585.0,1870.0,10100.0,1835.0,2275.0,5990.0,8630.0,5235.0,3395.0,3865.0
11004,  In the labour force,19315.0,1310.0,1695.0,9140.0,1645.0,2050.0,5445.0,6585.0,4575.0,2010.0,580.0
11004,    Employed,16980.0,1060.0,1295.0,8330.0,1475.0,1885.0,4970.0,5750.0,4105.0,1645.0,535.0
11004,    Unemployed,2335.0,250.0,400.0,815.0,170.0,160.0,480.0,835.0,470.0,365.0,40.0
11004,  Not in the labour force,7735.0,1270.0,175.0,955.0,185.0,230.0,540.0,2045.0,660.0,1385.0,3290.0
11004,Participation rate,71.4,50.7,90.6,90.5,89.6,90.1,90.9,76.3,87.4,59.2,15.0
11004,Employment rate,62.8,41.0,69.3,82.5,80.4,82.9,83.0,66.6,78.4,48.5,13.8
11004,Unemployment rate,12.1,19.1,23.6,8.9,10.3,7.8,8.8,12.7,10.3,18.2,6.9
12,Total - Labour force activity,732365.0,61435.0,55910.0,266355.0,54245.0,60460.0,151650.0,229300.0,137435.0,91860.0,119365.0
12,  In the labour force,451380.0,27675.0,45235.0,224305.0,45555.0,51000.0,127745.0,147655.0,106560.0,41090.0,6510.0
12,    Employed,402295.0,21945.0,36300.0,203095.0,40065.0,46000.0,117030.0,134885.0,97765.0,37120.0,6060.0
12,    Unemployed,49085.0,5730.0,8930.0,21210.0,5495.0,5000.0,10720.0,12770.0,8800.0,3970.0,450.0
12,  Not in the labour force,280990.0,33760.0,10680.0,42045.0,8685.0,9460.0,23905.0,81640.0,30875.0,50770.0,112855.0
12,Participation rate,61.6,45.0,80.9,84.2,84.0,84.4,84.2,64.4,77.5,44.7,5.5
12,Employment rate,54.9,35.7,64.9,76.2,73.9,76.1,77.2,58.8,71.1,40.4,5.1
12,Unemployment rate,10.9,20.7,19.7,9.5,12.1,9.8,8.4,8.6,8.3,9.7,6.9
12001,Total - Labour force activity,57530.0,5335.0,3955.0,17870.0,3400.0,3885.0,10585.0,19920.0,11640.0,8280.0,10445.0
12001,  In the labour force,30820.0,1880.0,2910.0,14410.0,2715.0,3120.0,8575.0,11150.0,8155.0,2995.0,470.0
12001,    Employed,24315.0,1380.0,1775.0,11695.0,2035.0,2480.0,7180.0,9085.0,6705.0,2380.0,385.0
12001,    Unemployed,6500.0,500.0,1135.0,2710.0,670.0,645.0,1395.0,2070.0,1455.0,615.0,90.0
12001,  Not in the labour force,26710.0,3460.0,1040.0,3460.0,690.0,760.0,2015.0,8765.0,3480.0,5290.0,9975.0
12001,Participation rate,53.6,35.2,73.6,80.6,79.9,80.3,81.0,56.0,70.1,36.2,4.5
12001,Employment rate,42.3,25.9,44.9,65.4,59.9,63.8,67.8,45.6,57.6,28.7,3.7
12001,Unemployment rate,21.1,26.6,39.0,18.8,24.7,20.7,16.3,18.6,17.8,20.5,19.1
12002,Total - Labour force activity,65730.0,5610.0,4240.0,22040.0,4190.0,4960.0,12890.0,21280.0,12305.0,8970.0,12565.0
12002,  In the labour force,39745.0,2730.0,3515.0,18890.0,3580.0,4280.0,11030.0,13905.0,9715.0,4190.0,715.0
12002,    Employed,35280.0,2225.0,2755.0,16975.0,3085.0,3825.0,10065.0,12685.0,8955.0,3735.0,645.0
12002,    Unemployed,4465.0,505.0,755.0,1915.0,495.0,450.0,965.0,1215.0,760.0,460.0,65.0
12002,  Not in the labour force,25990.0,2880.0,730.0,3145.0,605.0,680.0,1860.0,7375.0,2590.0,4780.0,11855.0
12002,Participation rate,60.5,48.7,82.9,85.7,85.4,86.3,85.6,65.3,79.0,46.7,5.7
12002,Employment rate,53.7,39.7,65.0,77.0,73.6,77.1,78.1,59.6,72.8,41.6,5.1
12002,Unemployment rate,11.2,18.5,21.5,10.1,13.8,10.5,8.7,8.7,7.8,11.0,9.1
12003,Total - Labour force activity,66795.0,5495.0,5415.0,26490.0,5610.0,5840.0,15045.0,20035.0,12550.0,7480.0,9360.0
12003,  In the labour force,44155.0,2880.0,4550.0,22415.0,4655.0,4995.0,12760.0,13770.0,10225.0,3550.0,535.0
12003,    Employed,40890.0,2385.0,3905.0,21005.0,4250.0,4685.0,12070.0,13115.0,9770.0,3345.0,485.0
12003,    Unemployed,3265.0,500.0,645.0,1415.0,410.0,310.0,695.0,655.0,450.0,210.0,55.0
12003,  Not in the labour force,22635.0,2615.0,860.0,4075.0,950.0,845.0,2285.0,6260.0,2325.0,3935.0,8820.0
12003,Participation rate,66.1,52.4,84.0,84.6,83.0,85.5,84.8,68.7,81.5,47.5,5.7
12003,Employment rate,61.2,43.4,72.1,79.3,75.8,80.2,80.2,65.5,77.8,44.7,5.2
12003,Unemployment rate,7.4,17.4,14.2,6.3,8.8,6.2,5.4,4.8,4.4,5.9,10.3
12004,Total - Labour force activity,71150.0,4255.0,10335.0,26995.0,8620.0,6455.0,11915.0,18020.0,11065.0,6955.0,11545.0
12004,  In the labour force,46650.0,2040.0,8515.0,22960.0,7160.0,5500.0,10300.0,12455.0,8920.0,3530.0,685.0
12004,    Employed,43075.0,1735.0,7350.0,21420.0,6595.0,5135.0,9685.0,11910.0,8595.0,3315.0,655.0
12004,    Unemployed,3580.0,300.0,1165.0,1540.0,565.0,365.0,615.0,540.0,330.0,215.0,30.0
12004,  Not in the labour force,24495.0,2215.0,1820.0,4030.0,1465.0,955.0,1615.0,5575.0,2145.0,3430.0,10860.0
12004,Participation rate,65.6,47.9,82.4,85.1,83.1,85.2,86.4,69.1,80.6,50.8,5.9
12004,Employment rate,60.5,40.8,71.1,79.3,76.5,79.6,81.3,66.1,77.7,47.7,5.7
12004,Unemployment rate,7.7,14.7,13.7,6.7,7.9,6.6,6.0,4.3,3.7,6.1,4.4
12005,Total - Labour force activity,84370.0,6575.0,6070.0,36550.0,7545.0,8840.0,20170.0,25370.0,15895.0,9475.0,9810.0
12005,  In the labour force,58475.0,3345.0,5170.0,31760.0,6550.0,7725.0,17490.0,17550.0,12635.0,4910.0,655.0
12005,    Employed,54625.0,2670.0,4490.0,30180.0,6155.0,7335.0,16690.0,16680.0,12020.0,4660.0,605.0
12005,    Unemployed,3850.0,675.0,680.0,1580.0,395.0,395.0,795.0,870.0,620.0,250.0,40.0
12005,  Not in the labour force,25895.0,3225.0,905.0,4790.0,995.0,1110.0,2680.0,7820.0,3255.0,4565.0,9160.0
12005,Participation rate,69.3,50.9,85.2,86.9,86.8,87.4,86.7,69.2,79.5,51.8,6.7
12005,Employment rate,64.7,40.6,74.0,82.6,81.6,83.0,82.7,65.7,75.6,49.2,6.2
12005,Unemployment rate,6.6,20.2,13.2,5.0,6.0,5.1,4.5,5.0,4.9,5.1,6.1
12006,Total - Labour force activity,78540.0,6780.0,5270.0,29460.0,5425.0,6715.0,17315.0,24450.0,14495.0,9960.0,12585.0
12006,  In the labour force,48890.0,3095.0,4340.0,24765.0,4580.0,5675.0,14510.0,15985.0,11530.0,4445.0,710.0
12006,    Employed,44470.0,2555.0,3550.0,22805.0,4055.0,5315.0,13440.0,14880.0,10740.0,4140.0,675.0
12006,    Unemployed,4415.0,545.0,785.0,1955.0,525.0,360.0,1070.0,1095.0,795.0,310.0,35.0
12006,  Not in the labour force,29655.0,3680.0,935.0,4700.0,850.0,1045.0,2805.0,8470.0,2960.0,5510.0,11870.0
12006,Participation rate,62.2,45.6,82.4,84.1,84.4,84.5,83.8,65.4,79.5,44.6,5.6
12006,Employment rate,56.6,37.7,67.4,77.4,74.7,79.2,77.6,60.9,74.1,41.6,5.4
12006,Unemployment rate,9.0,17.6,18.1,7.9,11.5,6.3,7.4,6.9,6.9,7.0,4.9
12007,Total - Labour force activity,61535.0,5885.0,4650.0,19980.0,3925.0,4440.0,11615.0,19910.0,11940.0,7965.0,11110.0
12007,  In the labour force,36320.0,2325.0,3720.0,16740.0,3425.0,3685.0,9630.0,12910.0,9305.0,3610.0,620.0
12007,    Employed,30770.0,1765.0,2685.0,14265.0,2795.0,3000.0,8475.0,11450.0,8255.0,3200.0,600.0
12007,    Unemployed,5550.0,560.0,1030.0,2480.0,635.0,685.0,1160.0,1460.0,1050.0,410.0,20.0
12007,  Not in the labour force,25215.0,3555.0,935.0,3235.0,500.0,755.0,1980.0,6995.0,2635.0,4355.0,10490.0
12007,Participation rate,59.0,39.5,80.0,83.8,87.3,83.0,82.9,64.8,77.9,45.3,5.6
12007,Employment rate,50.0,30.0,57.7,71.4,71.2,67.6,73.0,57.5,69.1,40.2,5.4
12007,Unemployment rate,15.3,24.1,27.7,14.8,18.5,18.6,12.0,11.3,11.3,11.4,3.2
12008,Total - Labour force activity,67540.0,6450.0,4610.0,28050.0,4675.0,6315.0,17060.0,21730.0,13770.0,7960.0,6690.0
12008,  In the labour force,47305.0,3420.0,3935.0,24300.0,4130.0,5360.0,14810.0,15155.0,11290.0,3865.0,490.0
12008,    Employed,43885.0,2830.0,3365.0,22985.0,3820.0,5045.0,14120.0,14245.0,10660.0,3585.0,465.0
12008,    Unemployed,3415.0,585.0,570.0,1320.0,315.0,320.0,685.0,915.0,630.0,285.0,25.0
12008,  Not in the labour force,20240.0,3035.0,680.0,3755.0,540.0,950.0,2255.0,6575.0,2480.0,4095.0,6200.0
12008,Participation rate,70.0,53.0,85.4,86.6,88.3,84.9,86.8,69.7,82.0,48.6,7.3
12008,Employment rate,65.0,43.9,73.0,81.9,81.7,79.9,82.8,65.6,77.4,45.0,7.0
12008,Unemployment rate,7.2,17.1,14.5,5.4,7.6,6.0,4.6,6.0,5.6,7.4,5.1
12009,Total - Labour force activity,62285.0,4820.0,3610.0,20830.0,3795.0,4570.0,12470.0,20750.0,11925.0,8820.0,12275.0
12009,  In the labour force,36235.0,2115.0,2945.0,17485.0,3210.0,3815.0,10455.0,12850.0,9030.0,3825.0,845.0
12009,    Employed,32315.0,1605.0,2305.0,15795.0,2810.0,3375.0,9605.0,11815.0,8305.0,3515.0,795.0
12009,    Unemployed,3920.0,510.0,645.0,1690.0,395.0,440.0,850.0,1035.0,730.0,310.0,40.0
12009,  Not in the labour force,26050.0,2705.0,665.0,3350.0,585.0,750.0,2015.0,7895.0,2900.0,4995.0,11430.0
12009,Participation rate,58.2,43.9,81.6,83.9,84.6,83.5,83.8,61.9,75.7,43.4,6.9
12009,Employment rate,51.9,33.3,63.9,75.8,74.0,73.9,77.0,56.9,69.6,39.9,6.5
12009,Unemployment rate,10.8,24.1,21.9,9.7,12.3,11.5,8.1,8.1,8.1,8.1,4.7
12010,Total - Labour force activity,61295.0,5730.0,4410.0,19720.0,3645.0,4300.0,11770.0,19790.0,11625.0,8165.0,11645.0
12010,  In the labour force,31045.0,1810.0,3005.0,15255.0,2780.0,3355.0,9120.0,10720.0,7935.0,2785.0,265.0
12010,    Employed,24565.0,1250.0,1905.0,12330.0,2080.0,2735.0,7515.0,8840.0,6635.0,2205.0,240.0
12010,    Unemployed,6485.0,560.0,1105.0,2920.0,700.0,620.0,1605.0,1875.0,1300.0,580.0,25.0
12010,  Not in the labour force,30250.0,3920.0,1405.0,4470.0,865.0,950.0,2655.0,9080.0,3690.0,5385.0,11380.0
12010,Participation rate,50.6,31.6,68.1,77.4,76.3,78.0,77.5,54.2,68.3,34.1,2.3
12010,Employment rate,40.1,21.8,43.2,62.5,57.1,63.6,63.8,44.7,57.1,27.0,2.1
12010,Unemployment rate,20.9,30.9,36.8,19.1,25.2,18.5,17.6,17.5,16.4,20.8,9.4
12011,Total - Labour force activity,55590.0,4500.0,3350.0,18365.0,3410.0,4140.0,10815.0,18040.0,10230.0,7810.0,11330.0
12011,  In the labour force,31720.0,2030.0,2635.0,15325.0,2770.0,3485.0,9075.0,11205.0,7825.0,3385.0,525.0
12011,    Employed,28080.0,1540.0,2215.0,13640.0,2385.0,3060.0,8195.0,10175.0,7135.0,3045.0,505.0
12011,    Unemployed,3635.0,490.0,415.0,1690.0,390.0,415.0,880.0,1030.0,685.0,340.0,20.0
12011,  Not in the labour force,23865.0,2470.0,720.0,3040.0,640.0,660.0,1740.0,6835.0,2405.0,4425.0,10805.0
12011,Participation rate,57.1,45.1,78.7,83.4,81.2,84.2,83.9,62.1,76.5,43.3,4.6
12011,Employment rate,50.5,34.2,66.1,74.3,69.9,73.9,75.8,56.4,69.7,39.0,4.5
12011,Unemployment rate,11.5,24.1,15.7,11.0,14.1,11.9,9.7,9.2,8.8,10.0,3.8
13,Total - Labour force activity,589365.0,50525.0,46620.0,215450.0,45415.0,48685.0,121355.0,184250.0,112155.0,72090.0,92525.0
13,  In the labour force,371805.0,24250.0,36880.0,183110.0,38455.0,41505.0,103145.0,122445.0,88485.0,33965.0,5120.0
13,    Employed,325330.0,19460.0,30090.0,161715.0,33225.0,36885.0,91610.0,109415.0,79895.0,29520.0,4650.0
13,    Unemployed,46470.0,4790.0,6785.0,21390.0,5230.0,4620.0,11535.0,13035.0,8590.0,4445.0,470.0
13,  Not in the labour force,217565.0,26280.0,9745.0,32340.0,6955.0,7175.0,18205.0,61795.0,23670.0,38125.0,87405.0
13,Participation rate,63.1,48.0,79.1,85.0,84.7,85.3,85.0,66.5,78.9,47.1,5.5
13,Employment rate,55.2,38.5,64.5,75.1,73.2,75.8,75.5,59.4,71.2,40.9,5.0
13,Unemployment rate,12.5,19.8,18.4,11.7,13.6,11.1,11.2,10.6,9.7,13.1,9.2
13001,Total - Labour force activity,68395.0,5865.0,4925.0,24645.0,4670.0,5490.0,14485.0,22975.0,14040.0,8935.0,9985.0
13001,  In the labour force,39545.0,2390.0,3370.0,19710.0,3750.0,4495.0,11465.0,13790.0,10170.0,3625.0,290.0
13001,    Employed,32835.0,1840.0,2550.0,16445.0,3055.0,3750.0,9635.0,11735.0,8820.0,2915.0,275.0
13001,    Unemployed,6705.0,545.0,820.0,3265.0,690.0,745.0,1830.0,2060.0,1350.0,710.0,20.0
13001,  Not in the labour force,28850.0,3480.0,1555.0,4935.0,920.0,995.0,3020.0,9185.0,3875.0,5310.0,9690.0
13001,Participation rate,57.8,40.8,68.4,80.0,80.3,81.9,79.2,60.0,72.4,40.6,2.9
13001,Employment rate,48.0,31.4,51.8,66.7,65.4,68.3,66.5,51.1,62.8,32.6,2.8
13001,Unemployment rate,17.0,22.8,24.3,16.6,18.4,16.6,16.0,14.9,13.3,19.6,6.9
13002,Total - Labour force activity,67070.0,5535.0,4450.0,23565.0,4485.0,5350.0,13730.0,22655.0,13665.0,8990.0,10865.0
13002,  In the labour force,42990.0,2655.0,3585.0,20435.0,3825.0,4695.0,11910.0,15800.0,11255.0,4550.0,515.0
13002,    Employed,36615.0,2115.0,2805.0,17655.0,3185.0,4035.0,10440.0,13590.0,9775.0,3810.0,460.0
13002,    Unemployed,6375.0,540.0,780.0,2775.0,640.0,665.0,1470.0,2215.0,1475.0,740.0,55.0
13002,  Not in the labour force,24080.0,2885.0,870.0,3130.0,660.0,650.0,1815.0,6850.0,2410.0,4440.0,10350.0
13002,Participation rate,64.1,48.0,80.6,86.7,85.3,87.8,86.7,69.7,82.4,50.6,4.7
