Geography,Labour force ac,Total - Age groups,  15 to 24 years,  25 to 54 years,    25 to 34 years,    35 to 44 years,    45 to 54 years,  55 to 64 years,  65 to 74 years,  75 years and over
1001105,  Not in the labour force,80.0,25.0,25.0,10.0,10.0,0.0,15.0,10.0,15.0
1001105,Participation rate,61.0,28.6,81.8,0.0,83.3,100.0,75.0,0.0,0.0
1001105,Employment rate,29.3,28.6,45.5,0.0,58.3,28.6,0.0,0.0,0.0
1001105,Unemployment rate,52.0,0.0,44.4,0.0,30.0,57.1,66.7,0.0,0.0
1001113,Total - Labour force activity,695.0,115.0,285.0,50.0,60.0,175.0,125.0,85.0,85.0
1001113,  In the labour force,350.0,70.0,225.0,40.0,50.0,130.0,55.0,0.0,0.0
1001113,    Employed,245.0,50.0,155.0,15.0,50.0,90.0,40.0,0.0,0.0
1001113,    Unemployed,100.0,15.0,70.0,30.0,0.0,40.0,15.0,0.0,0.0
1001113,  Not in the labour force,340.0,45.0,60.0,0.0,10.0,45.0,65.0,85.0,85.0
1001113,Participation rate,50.4,60.9,78.9,80.0,83.3,74.3,44.0,0.0,0.0
1001113,Employment rate,35.3,43.5,54.4,30.0,83.3,51.4,32.0,0.0,0.0
1001113,Unemployment rate,28.6,21.4,31.1,75.0,0.0,30.8,27.3,0.0,0.0
1001120,Total - Labour force activity,110.0,20.0,50.0,0.0,10.0,35.0,15.0,0.0,10.0
1001120,  In the labour force,75.0,10.0,45.0,0.0,10.0,40.0,10.0,10.0,0.0
1001120,    Employed,40.0,10.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0
1001120,    Unemployed,35.0,0.0,30.0,0.0,10.0,20.0,10.0,0.0,0.0
1001120,  Not in the labour force,35.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1001120,Participation rate,68.2,0.0,90.0,0.0,0.0,100.0,0.0,0.0,0.0
1001120,Employment rate,36.4,0.0,30.0,0.0,0.0,42.9,0.0,0.0,0.0
1001120,Unemployment rate,46.7,0.0,66.7,0.0,0.0,50.0,0.0,0.0,0.0
1001124,Total - Labour force activity,1385.0,250.0,665.0,130.0,180.0,355.0,250.0,155.0,65.0
1001124,  In the labour force,785.0,130.0,520.0,100.0,145.0,275.0,95.0,35.0,0.0
1001124,    Employed,660.0,95.0,450.0,85.0,130.0,240.0,85.0,30.0,0.0
1001124,    Unemployed,120.0,30.0,70.0,20.0,15.0,35.0,15.0,0.0,0.0
1001124,  Not in the labour force,600.0,115.0,145.0,25.0,35.0,80.0,150.0,120.0,65.0
1001124,Participation rate,56.7,52.0,78.2,76.9,80.6,77.5,38.0,22.6,0.0
1001124,Employment rate,47.7,38.0,67.7,65.4,72.2,67.6,34.0,19.4,0.0
1001124,Unemployment rate,15.3,23.1,13.5,20.0,10.3,12.7,15.8,0.0,0.0
1001126,Total - Labour force activity,440.0,55.0,210.0,70.0,40.0,105.0,95.0,65.0,10.0
1001126,  In the labour force,225.0,20.0,150.0,35.0,35.0,80.0,45.0,10.0,0.0
1001126,    Employed,175.0,20.0,120.0,30.0,25.0,65.0,30.0,10.0,0.0
1001126,    Unemployed,50.0,0.0,30.0,0.0,10.0,20.0,15.0,0.0,0.0
1001126,  Not in the labour force,215.0,35.0,60.0,35.0,10.0,25.0,50.0,55.0,15.0
1001126,Participation rate,51.1,36.4,71.4,50.0,87.5,76.2,47.4,15.4,0.0
1001126,Employment rate,39.8,36.4,57.1,42.9,62.5,61.9,31.6,15.4,0.0
1001126,Unemployment rate,22.2,0.0,20.0,0.0,28.6,25.0,33.3,0.0,0.0
1001131,Total - Labour force activity,370.0,65.0,195.0,0.0,140.0,55.0,45.0,10.0,50.0
1001131,  In the labour force,245.0,40.0,165.0,0.0,115.0,55.0,30.0,0.0,0.0
1001131,    Employed,200.0,25.0,155.0,0.0,115.0,45.0,15.0,0.0,0.0
1001131,    Unemployed,40.0,15.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0
1001131,  Not in the labour force,125.0,25.0,30.0,0.0,20.0,0.0,15.0,0.0,50.0
1001131,Participation rate,66.2,61.5,84.6,0.0,82.1,100.0,66.7,0.0,0.0
1001131,Employment rate,54.1,38.5,79.5,0.0,82.1,81.8,33.3,0.0,0.0
1001131,Unemployment rate,16.3,37.5,6.1,0.0,0.0,18.2,33.3,0.0,0.0
1001136,Total - Labour force activity,215.0,35.0,120.0,30.0,35.0,50.0,40.0,15.0,0.0
1001136,  In the labour force,135.0,10.0,110.0,30.0,25.0,50.0,20.0,0.0,0.0
1001136,    Employed,80.0,0.0,65.0,10.0,15.0,40.0,20.0,0.0,0.0
1001136,    Unemployed,55.0,0.0,40.0,20.0,10.0,15.0,10.0,0.0,0.0
1001136,  Not in the labour force,75.0,30.0,15.0,0.0,10.0,0.0,15.0,15.0,10.0
1001136,Participation rate,62.8,28.6,91.7,100.0,71.4,100.0,50.0,0.0,0.0
1001136,Employment rate,37.2,0.0,54.2,33.3,42.9,80.0,50.0,0.0,0.0
1001136,Unemployment rate,40.7,0.0,36.4,66.7,40.0,30.0,50.0,0.0,0.0
1001140,Total - Labour force activity,85.0,20.0,20.0,0.0,0.0,15.0,30.0,10.0,15.0
1001140,  In the labour force,60.0,20.0,15.0,0.0,0.0,15.0,20.0,0.0,0.0
1001140,    Employed,50.0,20.0,15.0,0.0,0.0,20.0,10.0,0.0,0.0
1001140,    Unemployed,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
1001140,  Not in the labour force,25.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0
1001140,Participation rate,70.6,0.0,75.0,0.0,0.0,100.0,66.7,0.0,0.0
1001140,Employment rate,58.8,0.0,75.0,0.0,0.0,100.0,33.3,0.0,0.0
1001140,Unemployment rate,16.7,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1001144,Total - Labour force activity,105.0,10.0,45.0,15.0,20.0,10.0,20.0,20.0,0.0
1001144,  In the labour force,50.0,0.0,30.0,15.0,10.0,0.0,10.0,15.0,0.0
1001144,    Employed,25.0,0.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0
1001144,    Unemployed,25.0,0.0,25.0,20.0,10.0,0.0,0.0,0.0,0.0
1001144,  Not in the labour force,50.0,10.0,20.0,0.0,10.0,10.0,15.0,10.0,0.0
1001144,Participation rate,47.6,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0
1001144,Employment rate,23.8,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0
1001144,Unemployment rate,50.0,0.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0
1001149,Total - Labour force activity,455.0,85.0,200.0,35.0,60.0,105.0,85.0,45.0,40.0
1001149,  In the labour force,265.0,50.0,155.0,30.0,40.0,80.0,55.0,0.0,0.0
1001149,    Employed,220.0,35.0,145.0,30.0,40.0,80.0,30.0,10.0,0.0
1001149,    Unemployed,45.0,10.0,10.0,0.0,10.0,10.0,20.0,0.0,0.0
1001149,  Not in the labour force,190.0,35.0,40.0,10.0,10.0,25.0,35.0,35.0,40.0
1001149,Participation rate,58.2,58.8,77.5,85.7,66.7,76.2,64.7,0.0,0.0
1001149,Employment rate,48.4,41.2,72.5,85.7,66.7,76.2,35.3,22.2,0.0
1001149,Unemployment rate,17.0,20.0,6.5,0.0,25.0,12.5,36.4,0.0,0.0
1001155,Total - Labour force activity,485.0,55.0,255.0,50.0,75.0,130.0,70.0,65.0,30.0
1001155,  In the labour force,265.0,10.0,215.0,35.0,65.0,110.0,35.0,0.0,0.0
1001155,    Employed,165.0,10.0,130.0,15.0,35.0,85.0,20.0,0.0,0.0
1001155,    Unemployed,100.0,10.0,85.0,20.0,30.0,25.0,10.0,0.0,0.0
1001155,  Not in the labour force,220.0,45.0,35.0,10.0,0.0,20.0,35.0,65.0,30.0
1001155,Participation rate,54.6,18.2,84.3,70.0,86.7,84.6,50.0,0.0,0.0
1001155,Employment rate,34.0,18.2,51.0,30.0,46.7,65.4,28.6,0.0,0.0
1001155,Unemployment rate,37.7,100.0,39.5,57.1,46.2,22.7,28.6,0.0,0.0
1001169,Total - Labour force activity,320.0,50.0,175.0,45.0,55.0,75.0,20.0,50.0,25.0
1001169,  In the labour force,175.0,10.0,140.0,45.0,30.0,65.0,20.0,0.0,0.0
1001169,    Employed,85.0,0.0,80.0,10.0,20.0,50.0,0.0,0.0,0.0
1001169,    Unemployed,90.0,10.0,55.0,35.0,10.0,15.0,25.0,0.0,0.0
1001169,  Not in the labour force,145.0,35.0,35.0,0.0,25.0,10.0,0.0,50.0,25.0
1001169,Participation rate,54.7,20.0,80.0,100.0,54.5,86.7,100.0,0.0,0.0
1001169,Employment rate,26.6,0.0,45.7,22.2,36.4,66.7,0.0,0.0,0.0
1001169,Unemployment rate,51.4,100.0,39.3,77.8,33.3,23.1,100.0,0.0,0.0
1001174,Total - Labour force activity,260.0,35.0,95.0,15.0,35.0,40.0,85.0,30.0,10.0
1001174,  In the labour force,120.0,15.0,75.0,15.0,30.0,30.0,25.0,0.0,0.0
1001174,    Employed,60.0,0.0,40.0,15.0,0.0,20.0,15.0,0.0,0.0
1001174,    Unemployed,55.0,15.0,30.0,0.0,25.0,0.0,10.0,0.0,0.0
1001174,  Not in the labour force,145.0,20.0,20.0,0.0,0.0,10.0,60.0,35.0,10.0
1001174,Participation rate,46.2,42.9,78.9,0.0,85.7,75.0,29.4,0.0,0.0
1001174,Employment rate,23.1,0.0,42.1,0.0,0.0,50.0,17.6,0.0,0.0
1001174,Unemployment rate,45.8,100.0,40.0,0.0,83.3,0.0,40.0,0.0,0.0
1001178,Total - Labour force activity,390.0,50.0,180.0,15.0,65.0,95.0,80.0,25.0,60.0
1001178,  In the labour force,210.0,30.0,150.0,10.0,60.0,80.0,25.0,0.0,0.0
1001178,    Employed,145.0,20.0,110.0,10.0,40.0,60.0,20.0,0.0,0.0
1001178,    Unemployed,60.0,10.0,40.0,0.0,15.0,20.0,10.0,0.0,0.0
1001178,  Not in the labour force,180.0,20.0,30.0,0.0,10.0,15.0,50.0,25.0,60.0
1001178,Participation rate,53.8,60.0,83.3,66.7,92.3,84.2,31.2,0.0,0.0
1001178,Employment rate,37.2,40.0,61.1,66.7,61.5,63.2,25.0,0.0,0.0
1001178,Unemployment rate,28.6,33.3,26.7,0.0,25.0,25.0,40.0,0.0,0.0
1001181,Total - Labour force activity,185.0,20.0,95.0,10.0,30.0,50.0,35.0,20.0,10.0
1001181,  In the labour force,100.0,10.0,85.0,15.0,30.0,45.0,10.0,0.0,0.0
1001181,    Employed,65.0,0.0,55.0,0.0,20.0,30.0,10.0,0.0,0.0
1001181,    Unemployed,40.0,10.0,30.0,10.0,0.0,15.0,0.0,0.0,0.0
1001181,  Not in the labour force,80.0,15.0,10.0,0.0,10.0,0.0,30.0,20.0,10.0
1001181,Participation rate,54.1,50.0,89.5,0.0,100.0,90.0,28.6,0.0,0.0
1001181,Employment rate,35.1,0.0,57.9,0.0,66.7,60.0,28.6,0.0,0.0
1001181,Unemployment rate,40.0,100.0,35.3,0.0,0.0,33.3,0.0,0.0,0.0
1001186,Total - Labour force activity,150.0,15.0,75.0,10.0,65.0,0.0,35.0,10.0,15.0
1001186,  In the labour force,90.0,15.0,55.0,10.0,40.0,0.0,25.0,0.0,0.0
1001186,    Employed,75.0,10.0,45.0,10.0,40.0,0.0,20.0,0.0,0.0
1001186,    Unemployed,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1001186,  Not in the labour force,55.0,0.0,20.0,0.0,15.0,0.0,10.0,0.0,15.0
1001186,Participation rate,60.0,100.0,73.3,0.0,61.5,0.0,71.4,0.0,0.0
1001186,Employment rate,50.0,66.7,60.0,0.0,61.5,0.0,57.1,0.0,0.0
1001186,Unemployment rate,16.7,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0
1001192,Total - Labour force activity,140.0,10.0,80.0,10.0,45.0,20.0,25.0,10.0,20.0
1001192,  In the labour force,60.0,0.0,55.0,10.0,40.0,0.0,10.0,0.0,0.0
1001192,    Employed,65.0,0.0,55.0,10.0,40.0,0.0,10.0,0.0,0.0
1001192,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001192,  Not in the labour force,80.0,10.0,25.0,0.0,10.0,15.0,15.0,10.0,15.0
1001192,Participation rate,42.9,0.0,68.8,0.0,88.9,0.0,0.0,0.0,0.0
1001192,Employment rate,46.4,0.0,68.8,0.0,88.9,0.0,0.0,0.0,0.0
1001192,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001197,Total - Labour force activity,410.0,65.0,160.0,50.0,25.0,85.0,105.0,45.0,35.0
1001197,  In the labour force,170.0,20.0,95.0,15.0,25.0,60.0,40.0,0.0,10.0
1001197,    Employed,105.0,10.0,70.0,10.0,15.0,50.0,20.0,0.0,0.0
1001197,    Unemployed,65.0,15.0,30.0,10.0,0.0,15.0,25.0,0.0,0.0
1001197,  Not in the labour force,240.0,40.0,60.0,35.0,0.0,30.0,60.0,40.0,30.0
1001197,Participation rate,41.5,30.8,59.4,30.0,0.0,70.6,38.1,0.0,28.6
1001197,Employment rate,25.6,15.4,43.8,20.0,0.0,58.8,19.0,0.0,0.0
1001197,Unemployment rate,38.2,75.0,31.6,66.7,0.0,25.0,62.5,0.0,0.0
1001203,Total - Labour force activity,440.0,55.0,195.0,30.0,90.0,70.0,105.0,60.0,25.0
1001203,  In the labour force,250.0,20.0,165.0,30.0,75.0,55.0,60.0,0.0,0.0
1001203,    Employed,165.0,0.0,105.0,25.0,45.0,30.0,45.0,10.0,0.0
1001203,    Unemployed,85.0,15.0,55.0,10.0,30.0,25.0,10.0,0.0,0.0
1001203,  Not in the labour force,190.0,40.0,30.0,10.0,10.0,15.0,45.0,50.0,25.0
1001203,Participation rate,56.8,36.4,84.6,100.0,83.3,78.6,57.1,0.0,0.0
1001203,Employment rate,37.5,0.0,53.8,83.3,50.0,42.9,42.9,16.7,0.0
1001203,Unemployment rate,34.0,75.0,33.3,33.3,40.0,45.5,16.7,0.0,0.0
1001207,Total - Labour force activity,140.0,15.0,65.0,20.0,15.0,30.0,45.0,0.0,10.0
1001207,  In the labour force,85.0,0.0,40.0,10.0,10.0,25.0,45.0,0.0,0.0
1001207,    Employed,60.0,0.0,25.0,10.0,0.0,15.0,30.0,0.0,0.0
1001207,    Unemployed,30.0,0.0,15.0,10.0,0.0,10.0,15.0,0.0,0.0
1001207,  Not in the labour force,55.0,15.0,25.0,10.0,10.0,10.0,0.0,0.0,15.0
1001207,Participation rate,60.7,0.0,61.5,0.0,0.0,83.3,100.0,0.0,0.0
1001207,Employment rate,42.9,0.0,38.5,0.0,0.0,50.0,66.7,0.0,0.0
1001207,Unemployment rate,35.3,0.0,37.5,0.0,0.0,40.0,33.3,0.0,0.0
1001214,Total - Labour force activity,175.0,25.0,40.0,0.0,10.0,30.0,45.0,45.0,20.0
1001214,  In the labour force,70.0,20.0,30.0,10.0,10.0,15.0,10.0,10.0,0.0
1001214,    Employed,20.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
1001214,    Unemployed,55.0,20.0,25.0,10.0,0.0,15.0,10.0,0.0,0.0
1001214,  Not in the labour force,105.0,0.0,10.0,0.0,0.0,15.0,40.0,30.0,20.0
1001214,Participation rate,40.0,80.0,75.0,0.0,0.0,50.0,22.2,22.2,0.0
1001214,Employment rate,11.4,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0
1001214,Unemployment rate,78.6,100.0,83.3,0.0,0.0,100.0,100.0,0.0,0.0
1001219,Total - Labour force activity,275.0,55.0,125.0,20.0,15.0,95.0,45.0,15.0,25.0
1001219,  In the labour force,145.0,35.0,85.0,0.0,15.0,75.0,20.0,0.0,0.0
1001219,    Employed,130.0,30.0,85.0,0.0,10.0,70.0,15.0,0.0,0.0
1001219,    Unemployed,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1001219,  Not in the labour force,130.0,20.0,40.0,20.0,0.0,20.0,25.0,15.0,25.0
1001219,Participation rate,52.7,63.6,68.0,0.0,0.0,78.9,44.4,0.0,0.0
1001219,Employment rate,47.3,54.5,68.0,0.0,0.0,73.7,33.3,0.0,0.0
1001219,Unemployment rate,6.9,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0
1001225,Total - Labour force activity,105.0,10.0,65.0,20.0,15.0,25.0,0.0,10.0,10.0
1001225,  In the labour force,55.0,0.0,45.0,10.0,0.0,25.0,10.0,0.0,0.0
1001225,    Employed,45.0,0.0,40.0,15.0,10.0,20.0,0.0,0.0,0.0
1001225,    Unemployed,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
1001225,  Not in the labour force,50.0,0.0,15.0,10.0,10.0,0.0,0.0,15.0,10.0
1001225,Participation rate,52.4,0.0,69.2,0.0,0.0,100.0,0.0,0.0,0.0
1001225,Employment rate,42.9,0.0,61.5,0.0,0.0,80.0,0.0,0.0,0.0
1001225,Unemployment rate,18.2,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
1001228,Total - Labour force activity,325.0,75.0,180.0,25.0,55.0,105.0,35.0,20.0,15.0
1001228,  In the labour force,180.0,30.0,140.0,20.0,20.0,100.0,15.0,0.0,0.0
1001228,    Employed,95.0,15.0,70.0,0.0,15.0,50.0,0.0,0.0,0.0
1001228,    Unemployed,85.0,10.0,70.0,20.0,0.0,45.0,10.0,0.0,0.0
1001228,  Not in the labour force,145.0,45.0,45.0,0.0,40.0,10.0,20.0,20.0,15.0
1001228,Participation rate,55.4,40.0,77.8,0.0,36.4,95.2,42.9,0.0,0.0
1001228,Employment rate,29.2,20.0,38.9,0.0,27.3,47.6,0.0,0.0,0.0
1001228,Unemployment rate,47.2,33.3,50.0,0.0,0.0,45.0,66.7,0.0,0.0
1001234,Total - Labour force activity,405.0,45.0,220.0,40.0,110.0,80.0,75.0,40.0,20.0
1001234,  In the labour force,200.0,10.0,145.0,25.0,60.0,65.0,45.0,0.0,0.0
1001234,    Employed,125.0,10.0,115.0,20.0,45.0,45.0,10.0,0.0,0.0
1001234,    Unemployed,70.0,10.0,35.0,0.0,15.0,20.0,35.0,0.0,0.0
1001234,  Not in the labour force,205.0,40.0,75.0,15.0,45.0,10.0,35.0,40.0,15.0
1001234,Participation rate,49.4,22.2,65.9,62.5,54.5,81.2,60.0,0.0,0.0
1001234,Employment rate,30.9,22.2,52.3,50.0,40.9,56.2,13.3,0.0,0.0
1001234,Unemployment rate,35.0,100.0,24.1,0.0,25.0,30.8,77.8,0.0,0.0
1001240,Total - Labour force activity,3240.0,540.0,1505.0,340.0,455.0,710.0,570.0,340.0,280.0
1001240,  In the labour force,1740.0,215.0,1210.0,260.0,355.0,595.0,290.0,25.0,0.0
1001240,    Employed,1295.0,155.0,900.0,160.0,295.0,440.0,230.0,10.0,0.0
1001240,    Unemployed,445.0,65.0,310.0,95.0,65.0,150.0,55.0,10.0,0.0
1001240,  Not in the labour force,1495.0,325.0,290.0,75.0,100.0,115.0,280.0,320.0,280.0
1001240,Participation rate,53.7,39.8,80.4,76.5,78.0,83.8,50.9,7.4,0.0
1001240,Employment rate,40.0,28.7,59.8,47.1,64.8,62.0,40.4,2.9,0.0
1001240,Unemployment rate,25.6,30.2,25.6,36.5,18.3,25.2,19.0,40.0,0.0
1001254,Total - Labour force activity,255.0,45.0,125.0,30.0,20.0,70.0,60.0,10.0,10.0
1001254,  In the labour force,120.0,25.0,60.0,10.0,10.0,45.0,30.0,0.0,0.0
1001254,    Employed,60.0,10.0,35.0,10.0,0.0,30.0,10.0,0.0,0.0
1001254,    Unemployed,65.0,15.0,25.0,0.0,10.0,15.0,20.0,0.0,0.0
1001254,  Not in the labour force,135.0,20.0,60.0,25.0,15.0,20.0,30.0,15.0,10.0
1001254,Participation rate,47.1,55.6,48.0,33.3,0.0,64.3,50.0,0.0,0.0
1001254,Employment rate,23.5,22.2,28.0,33.3,0.0,42.9,16.7,0.0,0.0
1001254,Unemployment rate,54.2,60.0,41.7,0.0,0.0,33.3,66.7,0.0,0.0
1001259,Total - Labour force activity,830.0,70.0,415.0,80.0,70.0,260.0,140.0,130.0,65.0
1001259,  In the labour force,365.0,45.0,250.0,70.0,60.0,120.0,60.0,10.0,0.0
1001259,    Employed,315.0,45.0,210.0,50.0,55.0,105.0,55.0,10.0,0.0
1001259,    Unemployed,45.0,0.0,35.0,15.0,10.0,15.0,0.0,0.0,0.0
1001259,  Not in the labour force,465.0,30.0,165.0,15.0,0.0,140.0,80.0,125.0,65.0
1001259,Participation rate,44.0,64.3,60.2,87.5,85.7,46.2,42.9,7.7,0.0
1001259,Employment rate,38.0,64.3,50.6,62.5,78.6,40.4,39.3,7.7,0.0
1001259,Unemployment rate,12.3,0.0,14.0,21.4,16.7,12.5,0.0,0.0,0.0
1001263,Total - Labour force activity,210.0,55.0,90.0,0.0,0.0,85.0,40.0,0.0,20.0
1001263,  In the labour force,140.0,55.0,65.0,10.0,0.0,55.0,20.0,0.0,0.0
1001263,    Employed,125.0,45.0,55.0,10.0,0.0,45.0,20.0,0.0,0.0
1001263,    Unemployed,20.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
1001263,  Not in the labour force,65.0,0.0,30.0,0.0,0.0,25.0,15.0,0.0,20.0
1001263,Participation rate,66.7,100.0,72.2,0.0,0.0,64.7,50.0,0.0,0.0
1001263,Employment rate,59.5,81.8,61.1,0.0,0.0,52.9,50.0,0.0,0.0
1001263,Unemployment rate,14.3,18.2,0.0,0.0,0.0,18.2,0.0,0.0,0.0
1001267,Total - Labour force activity,450.0,120.0,205.0,20.0,60.0,120.0,50.0,50.0,20.0
1001267,  In the labour force,240.0,45.0,180.0,15.0,60.0,110.0,10.0,0.0,0.0
1001267,    Employed,175.0,30.0,140.0,10.0,40.0,85.0,10.0,0.0,0.0
1001267,    Unemployed,65.0,10.0,45.0,15.0,15.0,20.0,0.0,10.0,0.0
1001267,  Not in the labour force,210.0,75.0,20.0,0.0,0.0,15.0,40.0,55.0,20.0
1001267,Participation rate,53.3,37.5,87.8,75.0,100.0,91.7,20.0,0.0,0.0
1001267,Employment rate,38.9,25.0,68.3,50.0,66.7,70.8,20.0,0.0,0.0
1001267,Unemployment rate,27.1,22.2,25.0,100.0,25.0,18.2,0.0,0.0,0.0
1001270,Total - Labour force activity,850.0,90.0,435.0,85.0,120.0,230.0,145.0,90.0,80.0
1001270,  In the labour force,460.0,25.0,345.0,70.0,105.0,170.0,90.0,0.0,0.0
1001270,    Employed,315.0,15.0,230.0,50.0,60.0,115.0,75.0,0.0,0.0
1001270,    Unemployed,140.0,10.0,115.0,20.0,45.0,50.0,20.0,0.0,0.0
1001270,  Not in the labour force,390.0,65.0,90.0,15.0,20.0,60.0,55.0,90.0,80.0
1001270,Participation rate,54.1,27.8,79.3,82.4,87.5,73.9,62.1,0.0,0.0
1001270,Employment rate,37.1,16.7,52.9,58.8,50.0,50.0,51.7,0.0,0.0
1001270,Unemployment rate,30.4,40.0,33.3,28.6,42.9,29.4,22.2,0.0,0.0
1001274,Total - Labour force activity,220.0,30.0,110.0,40.0,45.0,30.0,40.0,10.0,30.0
1001274,  In the labour force,150.0,20.0,100.0,25.0,45.0,30.0,30.0,0.0,0.0
1001274,    Employed,105.0,0.0,70.0,20.0,35.0,15.0,30.0,0.0,0.0
1001274,    Unemployed,45.0,10.0,30.0,10.0,10.0,10.0,0.0,0.0,0.0
1001274,  Not in the labour force,70.0,0.0,10.0,10.0,0.0,0.0,15.0,10.0,25.0
1001274,Participation rate,68.2,66.7,90.9,62.5,100.0,100.0,75.0,0.0,0.0
1001274,Employment rate,47.7,0.0,63.6,50.0,77.8,50.0,75.0,0.0,0.0
1001274,Unemployment rate,30.0,50.0,30.0,40.0,22.2,33.3,0.0,0.0,0.0
1001277,Total - Labour force activity,395.0,40.0,215.0,50.0,115.0,50.0,95.0,45.0,0.0
1001277,  In the labour force,215.0,0.0,170.0,30.0,100.0,30.0,35.0,0.0,0.0
1001277,    Employed,175.0,0.0,140.0,30.0,85.0,20.0,35.0,0.0,0.0
1001277,    Unemployed,45.0,10.0,30.0,0.0,20.0,10.0,0.0,0.0,0.0
1001277,  Not in the labour force,175.0,30.0,45.0,15.0,10.0,15.0,55.0,40.0,10.0
1001277,Participation rate,54.4,0.0,79.1,60.0,87.0,60.0,36.8,0.0,0.0
1001277,Employment rate,44.3,0.0,65.1,60.0,73.9,40.0,36.8,0.0,0.0
1001277,Unemployment rate,20.9,0.0,17.6,0.0,20.0,33.3,0.0,0.0,0.0
1001281,Total - Labour force activity,265.0,30.0,120.0,35.0,35.0,55.0,50.0,50.0,10.0
