Geography,Labour Force Ac,Total - Age groups,  15-24 years,    15-19 years,    20-24 years,  25-34 years,  35-44 years,  45-54 years,  55-64 years,  65 years and over
1001126,Unemployment rate,40.8,57.1,100.0,60.0,33.3,46.7,38.5,0.0,0.0
1001131,Total - Labour force activity,375.0,60.0,40.0,20.0,40.0,90.0,85.0,20.0,75.0
1001131,  Total labour force,190.0,30.0,20.0,10.0,30.0,65.0,55.0,0.0,0.0
1001131,    Employed,115.0,10.0,10.0,10.0,30.0,35.0,45.0,0.0,0.0
1001131,    Unemployed,75.0,15.0,10.0,0.0,0.0,30.0,15.0,10.0,0.0
1001131,  Not in the labour force,185.0,30.0,25.0,10.0,10.0,25.0,25.0,15.0,75.0
1001131,Participation rate,50.7,50.0,50.0,50.0,75.0,72.2,64.7,0.0,0.0
1001131,Employment rate,30.7,16.7,25.0,50.0,75.0,38.9,52.9,0.0,0.0
1001131,Unemployment rate,39.5,50.0,50.0,0.0,0.0,46.2,27.3,0.0,0.0
1001136,Total - Labour force activity,330.0,70.0,55.0,15.0,45.0,70.0,40.0,45.0,55.0
1001136,  Total labour force,110.0,10.0,0.0,0.0,30.0,45.0,15.0,15.0,0.0
1001136,    Employed,80.0,0.0,10.0,0.0,25.0,25.0,10.0,15.0,0.0
1001136,    Unemployed,30.0,0.0,0.0,0.0,10.0,15.0,0.0,10.0,0.0
1001136,  Not in the labour force,220.0,60.0,45.0,20.0,20.0,30.0,25.0,25.0,60.0
1001136,Participation rate,33.3,14.3,0.0,0.0,66.7,64.3,37.5,33.3,0.0
1001136,Employment rate,24.2,0.0,18.2,0.0,55.6,35.7,25.0,33.3,0.0
1001136,Unemployment rate,27.3,0.0,0.0,0.0,33.3,33.3,0.0,66.7,0.0
1001140,Total - Labour force activity,80.0,20.0,10.0,10.0,0.0,15.0,20.0,10.0,10.0
1001140,  Total labour force,40.0,0.0,0.0,0.0,10.0,20.0,10.0,10.0,0.0
1001140,    Employed,20.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
1001140,    Unemployed,25.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
1001140,  Not in the labour force,40.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,15.0
1001140,Participation rate,50.0,0.0,0.0,0.0,0.0,100.0,50.0,100.0,0.0
1001140,Employment rate,25.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0
1001140,Unemployment rate,62.5,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
1001144,Total - Labour force activity,155.0,40.0,25.0,15.0,10.0,45.0,40.0,10.0,15.0
1001144,  Total labour force,95.0,15.0,10.0,0.0,0.0,40.0,30.0,10.0,0.0
1001144,    Employed,55.0,15.0,10.0,0.0,10.0,20.0,20.0,0.0,0.0
1001144,    Unemployed,40.0,0.0,0.0,0.0,0.0,25.0,15.0,10.0,0.0
1001144,  Not in the labour force,55.0,25.0,10.0,15.0,0.0,10.0,10.0,0.0,15.0
1001144,Participation rate,61.3,37.5,40.0,0.0,0.0,88.9,75.0,100.0,0.0
1001144,Employment rate,35.5,37.5,40.0,0.0,100.0,44.4,50.0,0.0,0.0
1001144,Unemployment rate,42.1,0.0,0.0,0.0,0.0,62.5,50.0,100.0,0.0
1001149,Total - Labour force activity,520.0,90.0,55.0,35.0,85.0,100.0,60.0,95.0,85.0
1001149,  Total labour force,225.0,35.0,0.0,25.0,60.0,65.0,40.0,15.0,0.0
1001149,    Employed,145.0,15.0,10.0,10.0,30.0,45.0,35.0,15.0,0.0
1001149,    Unemployed,85.0,15.0,0.0,20.0,25.0,25.0,10.0,0.0,0.0
1001149,  Not in the labour force,295.0,55.0,50.0,10.0,30.0,30.0,20.0,80.0,75.0
1001149,Participation rate,43.3,38.9,0.0,71.4,70.6,65.0,66.7,15.8,0.0
1001149,Employment rate,27.9,16.7,18.2,28.6,35.3,45.0,58.3,15.8,0.0
1001149,Unemployment rate,37.8,42.9,0.0,80.0,41.7,38.5,25.0,0.0,0.0
1001155,Total - Labour force activity,340.0,80.0,35.0,45.0,55.0,70.0,35.0,50.0,50.0
1001155,  Total labour force,170.0,20.0,0.0,20.0,45.0,55.0,15.0,30.0,0.0
1001155,    Employed,100.0,15.0,0.0,10.0,15.0,25.0,15.0,30.0,0.0
1001155,    Unemployed,75.0,10.0,0.0,10.0,30.0,30.0,0.0,0.0,0.0
1001155,  Not in the labour force,165.0,55.0,30.0,25.0,15.0,10.0,20.0,10.0,55.0
1001155,Participation rate,50.0,25.0,0.0,44.4,81.8,78.6,42.9,60.0,0.0
1001155,Employment rate,29.4,18.8,0.0,22.2,27.3,35.7,42.9,60.0,0.0
1001155,Unemployment rate,44.1,50.0,0.0,50.0,66.7,54.5,0.0,0.0,0.0
1001169,Total - Labour force activity,440.0,60.0,25.0,35.0,80.0,105.0,80.0,35.0,80.0
1001169,  Total labour force,170.0,10.0,0.0,0.0,35.0,80.0,50.0,0.0,0.0
1001169,    Employed,100.0,10.0,0.0,0.0,20.0,40.0,35.0,0.0,0.0
1001169,    Unemployed,75.0,10.0,10.0,10.0,15.0,40.0,10.0,0.0,0.0
1001169,  Not in the labour force,265.0,50.0,15.0,35.0,45.0,20.0,30.0,35.0,85.0
1001169,Participation rate,38.6,16.7,0.0,0.0,43.8,76.2,62.5,0.0,0.0
1001169,Employment rate,22.7,16.7,0.0,0.0,25.0,38.1,43.8,0.0,0.0
1001169,Unemployment rate,44.1,100.0,0.0,0.0,42.9,50.0,20.0,0.0,0.0
1001174,Total - Labour force activity,330.0,70.0,50.0,20.0,60.0,65.0,75.0,35.0,20.0
1001174,  Total labour force,150.0,25.0,15.0,10.0,50.0,25.0,45.0,10.0,0.0
1001174,    Employed,70.0,0.0,0.0,0.0,15.0,10.0,45.0,0.0,0.0
1001174,    Unemployed,80.0,25.0,15.0,10.0,35.0,15.0,0.0,10.0,0.0
1001174,  Not in the labour force,180.0,45.0,35.0,10.0,10.0,45.0,30.0,25.0,20.0
1001174,Participation rate,45.5,35.7,30.0,50.0,83.3,38.5,60.0,28.6,0.0
1001174,Employment rate,21.2,0.0,0.0,0.0,25.0,15.4,60.0,0.0,0.0
1001174,Unemployment rate,53.3,100.0,100.0,100.0,70.0,60.0,0.0,100.0,0.0
1001178,Total - Labour force activity,480.0,120.0,110.0,10.0,60.0,105.0,85.0,65.0,40.0
1001178,  Total labour force,230.0,25.0,10.0,10.0,45.0,80.0,60.0,15.0,0.0
1001178,    Employed,100.0,10.0,0.0,10.0,10.0,40.0,40.0,10.0,0.0
1001178,    Unemployed,125.0,10.0,0.0,10.0,35.0,45.0,20.0,15.0,0.0
1001178,  Not in the labour force,250.0,95.0,95.0,0.0,15.0,20.0,25.0,45.0,40.0
1001178,Participation rate,47.9,20.8,9.1,100.0,75.0,76.2,70.6,23.1,0.0
1001178,Employment rate,20.8,8.3,0.0,100.0,16.7,38.1,47.1,15.4,0.0
1001178,Unemployment rate,54.3,40.0,0.0,100.0,77.8,56.2,33.3,100.0,0.0
1001181,Total - Labour force activity,240.0,40.0,35.0,10.0,45.0,50.0,25.0,25.0,55.0
1001181,  Total labour force,95.0,0.0,0.0,0.0,25.0,45.0,20.0,0.0,0.0
1001181,    Employed,50.0,0.0,0.0,0.0,10.0,35.0,10.0,0.0,0.0
1001181,    Unemployed,40.0,0.0,0.0,0.0,15.0,10.0,10.0,10.0,0.0
1001181,  Not in the labour force,145.0,40.0,30.0,10.0,20.0,0.0,10.0,20.0,55.0
1001181,Participation rate,39.6,0.0,0.0,0.0,55.6,90.0,80.0,0.0,0.0
1001181,Employment rate,20.8,0.0,0.0,0.0,22.2,70.0,40.0,0.0,0.0
1001181,Unemployment rate,42.1,0.0,0.0,0.0,60.0,22.2,50.0,0.0,0.0
1001186,Total - Labour force activity,185.0,15.0,0.0,15.0,50.0,35.0,15.0,15.0,55.0
1001186,  Total labour force,100.0,10.0,0.0,10.0,45.0,35.0,10.0,0.0,0.0
1001186,    Employed,70.0,10.0,0.0,10.0,30.0,30.0,10.0,0.0,0.0
1001186,    Unemployed,30.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0
1001186,  Not in the labour force,80.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
1001186,Participation rate,54.1,66.7,0.0,66.7,90.0,100.0,66.7,0.0,0.0
1001186,Employment rate,37.8,66.7,0.0,66.7,60.0,85.7,66.7,0.0,0.0
1001186,Unemployment rate,30.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0
1001192,Total - Labour force activity,155.0,20.0,0.0,20.0,25.0,10.0,30.0,20.0,45.0
1001192,  Total labour force,70.0,15.0,0.0,15.0,30.0,10.0,20.0,0.0,0.0
1001192,    Employed,55.0,10.0,0.0,10.0,20.0,10.0,25.0,0.0,0.0
1001192,    Unemployed,15.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
1001192,  Not in the labour force,80.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,45.0
1001192,Participation rate,45.2,75.0,0.0,75.0,100.0,100.0,66.7,0.0,0.0
1001192,Employment rate,35.5,50.0,0.0,50.0,80.0,100.0,83.3,0.0,0.0
1001192,Unemployment rate,21.4,0.0,0.0,66.7,33.3,0.0,0.0,0.0,0.0
1001197,Total - Labour force activity,410.0,90.0,50.0,40.0,45.0,90.0,80.0,35.0,75.0
1001197,  Total labour force,215.0,25.0,10.0,20.0,40.0,70.0,50.0,15.0,0.0
1001197,    Employed,165.0,20.0,10.0,15.0,30.0,55.0,40.0,10.0,10.0
1001197,    Unemployed,50.0,10.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0
1001197,  Not in the labour force,200.0,60.0,45.0,20.0,0.0,20.0,25.0,15.0,70.0
1001197,Participation rate,52.4,27.8,20.0,50.0,88.9,77.8,62.5,42.9,0.0
1001197,Employment rate,40.2,22.2,20.0,37.5,66.7,61.1,50.0,28.6,13.3
1001197,Unemployment rate,23.3,40.0,0.0,0.0,25.0,21.4,20.0,66.7,0.0
1001203,Total - Labour force activity,415.0,70.0,35.0,35.0,80.0,80.0,85.0,45.0,55.0
1001203,  Total labour force,210.0,20.0,10.0,10.0,70.0,55.0,50.0,15.0,0.0
1001203,    Employed,130.0,10.0,10.0,10.0,40.0,40.0,35.0,10.0,0.0
1001203,    Unemployed,80.0,10.0,10.0,0.0,30.0,10.0,20.0,10.0,0.0
1001203,  Not in the labour force,210.0,50.0,25.0,25.0,10.0,25.0,40.0,30.0,55.0
1001203,Participation rate,50.6,28.6,28.6,28.6,87.5,68.8,58.8,33.3,0.0
1001203,Employment rate,31.3,14.3,28.6,28.6,50.0,50.0,41.2,22.2,0.0
1001203,Unemployment rate,38.1,50.0,100.0,0.0,42.9,18.2,40.0,66.7,0.0
1001207,Total - Labour force activity,160.0,40.0,25.0,15.0,10.0,45.0,25.0,0.0,40.0
1001207,  Total labour force,90.0,15.0,0.0,15.0,10.0,35.0,25.0,10.0,0.0
1001207,    Employed,70.0,10.0,0.0,10.0,0.0,25.0,15.0,10.0,10.0
1001207,    Unemployed,20.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0
1001207,  Not in the labour force,70.0,20.0,25.0,0.0,0.0,10.0,0.0,0.0,35.0
1001207,Participation rate,56.2,37.5,0.0,100.0,100.0,77.8,100.0,0.0,0.0
1001207,Employment rate,43.8,25.0,0.0,66.7,0.0,55.6,60.0,0.0,25.0
1001207,Unemployment rate,22.2,0.0,0.0,66.7,0.0,28.6,0.0,0.0,0.0
1001214,Total - Labour force activity,220.0,35.0,30.0,10.0,20.0,35.0,65.0,35.0,30.0
1001214,  Total labour force,70.0,10.0,0.0,0.0,10.0,15.0,30.0,0.0,10.0
1001214,    Employed,65.0,0.0,0.0,0.0,10.0,15.0,25.0,0.0,10.0
1001214,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001214,  Not in the labour force,150.0,30.0,30.0,10.0,10.0,20.0,30.0,40.0,20.0
1001214,Participation rate,31.8,28.6,0.0,0.0,50.0,42.9,46.2,0.0,33.3
1001214,Employment rate,29.5,0.0,0.0,0.0,50.0,42.9,38.5,0.0,33.3
1001214,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001219,Total - Labour force activity,285.0,55.0,45.0,10.0,35.0,70.0,20.0,45.0,60.0
1001219,  Total labour force,100.0,15.0,0.0,10.0,35.0,40.0,10.0,0.0,0.0
1001219,    Employed,25.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1001219,    Unemployed,75.0,10.0,0.0,15.0,35.0,20.0,10.0,0.0,0.0
1001219,  Not in the labour force,185.0,45.0,45.0,0.0,0.0,25.0,10.0,40.0,60.0
1001219,Participation rate,35.1,27.3,0.0,100.0,100.0,57.1,50.0,0.0,0.0
1001219,Employment rate,8.8,0.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0
1001219,Unemployment rate,75.0,66.7,0.0,100.0,100.0,50.0,100.0,0.0,0.0
1001225,Total - Labour force activity,110.0,10.0,0.0,0.0,35.0,30.0,10.0,0.0,30.0
1001225,  Total labour force,50.0,0.0,0.0,0.0,15.0,20.0,10.0,10.0,0.0
1001225,    Employed,25.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0
1001225,    Unemployed,25.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
1001225,  Not in the labour force,60.0,0.0,10.0,0.0,15.0,10.0,10.0,0.0,30.0
1001225,Participation rate,45.5,0.0,0.0,0.0,42.9,66.7,100.0,0.0,0.0
1001225,Employment rate,22.7,0.0,0.0,0.0,28.6,0.0,100.0,0.0,0.0
1001225,Unemployment rate,50.0,0.0,0.0,0.0,66.7,50.0,0.0,0.0,0.0
1001228,Total - Labour force activity,410.0,85.0,60.0,30.0,65.0,110.0,45.0,45.0,65.0
1001228,  Total labour force,140.0,10.0,0.0,15.0,30.0,65.0,0.0,20.0,0.0
1001228,    Employed,90.0,10.0,0.0,10.0,15.0,35.0,10.0,20.0,0.0
1001228,    Unemployed,45.0,0.0,0.0,0.0,15.0,35.0,0.0,0.0,0.0
1001228,  Not in the labour force,270.0,75.0,55.0,20.0,35.0,40.0,40.0,25.0,55.0
1001228,Participation rate,34.1,11.8,0.0,50.0,46.2,59.1,0.0,44.4,0.0
1001228,Employment rate,22.0,11.8,0.0,33.3,23.1,31.8,22.2,44.4,0.0
1001228,Unemployment rate,32.1,0.0,0.0,0.0,50.0,53.8,0.0,0.0,0.0
1001234,Total - Labour force activity,390.0,60.0,50.0,10.0,70.0,110.0,95.0,10.0,45.0
1001234,  Total labour force,225.0,30.0,15.0,10.0,55.0,70.0,65.0,0.0,0.0
1001234,    Employed,115.0,15.0,10.0,0.0,25.0,45.0,35.0,0.0,0.0
1001234,    Unemployed,105.0,10.0,10.0,10.0,30.0,30.0,35.0,0.0,0.0
1001234,  Not in the labour force,170.0,35.0,30.0,0.0,20.0,30.0,25.0,10.0,45.0
1001234,Participation rate,57.7,50.0,30.0,100.0,78.6,63.6,68.4,0.0,0.0
1001234,Employment rate,29.5,25.0,20.0,0.0,35.7,40.9,36.8,0.0,0.0
1001234,Unemployment rate,46.7,33.3,66.7,100.0,54.5,42.9,53.8,0.0,0.0
1001240,Total - Labour force activity,3865.0,740.0,395.0,345.0,585.0,840.0,660.0,420.0,615.0
1001240,  Total labour force,2030.0,285.0,70.0,210.0,450.0,640.0,465.0,185.0,10.0
1001240,    Employed,1450.0,195.0,50.0,140.0,320.0,455.0,355.0,115.0,0.0
1001240,    Unemployed,580.0,90.0,20.0,70.0,125.0,180.0,110.0,65.0,10.0
1001240,  Not in the labour force,1835.0,455.0,320.0,135.0,135.0,195.0,200.0,235.0,610.0
1001240,Participation rate,52.5,38.5,17.7,60.9,76.9,76.2,70.5,44.0,1.6
1001240,Employment rate,37.5,26.4,12.7,40.6,54.7,54.2,53.8,27.4,0.0
1001240,Unemployment rate,28.6,31.6,28.6,33.3,27.8,28.1,23.7,35.1,100.0
1001254,Total - Labour force activity,310.0,95.0,70.0,20.0,25.0,75.0,50.0,40.0,30.0
1001254,  Total labour force,120.0,10.0,10.0,0.0,20.0,55.0,30.0,0.0,0.0
1001254,    Employed,65.0,0.0,0.0,10.0,10.0,25.0,20.0,10.0,0.0
1001254,    Unemployed,55.0,0.0,0.0,10.0,10.0,25.0,10.0,0.0,0.0
1001254,  Not in the labour force,190.0,80.0,65.0,15.0,0.0,20.0,15.0,35.0,25.0
1001254,Participation rate,38.7,10.5,14.3,0.0,80.0,73.3,60.0,0.0,0.0
1001254,Employment rate,21.0,0.0,0.0,50.0,40.0,33.3,40.0,25.0,0.0
1001254,Unemployment rate,45.8,0.0,0.0,0.0,50.0,45.5,33.3,0.0,0.0
1001259,Total - Labour force activity,870.0,200.0,125.0,75.0,130.0,250.0,110.0,80.0,100.0
1001259,  Total labour force,430.0,70.0,15.0,60.0,110.0,145.0,65.0,40.0,0.0
1001259,    Employed,335.0,25.0,10.0,20.0,85.0,145.0,60.0,20.0,0.0
1001259,    Unemployed,95.0,45.0,10.0,35.0,25.0,0.0,0.0,15.0,0.0
1001259,  Not in the labour force,435.0,130.0,110.0,20.0,15.0,100.0,50.0,45.0,100.0
1001259,Participation rate,49.4,35.0,12.0,80.0,84.6,58.0,59.1,50.0,0.0
1001259,Employment rate,38.5,12.5,8.0,26.7,65.4,58.0,54.5,25.0,0.0
1001259,Unemployment rate,22.1,64.3,66.7,58.3,22.7,0.0,0.0,37.5,0.0
1001263,Total - Labour force activity,390.0,95.0,55.0,40.0,20.0,90.0,75.0,35.0,70.0
1001263,  Total labour force,180.0,35.0,10.0,30.0,10.0,70.0,50.0,0.0,0.0
1001263,    Employed,110.0,20.0,10.0,15.0,0.0,50.0,40.0,0.0,0.0
1001263,    Unemployed,70.0,15.0,0.0,10.0,15.0,20.0,15.0,0.0,0.0
1001263,  Not in the labour force,210.0,60.0,45.0,15.0,0.0,20.0,25.0,30.0,70.0
1001263,Participation rate,46.2,36.8,18.2,75.0,50.0,77.8,66.7,0.0,0.0
1001263,Employment rate,28.2,21.1,18.2,37.5,0.0,55.6,53.3,0.0,0.0
1001263,Unemployment rate,38.9,42.9,0.0,33.3,100.0,28.6,30.0,0.0,0.0
1001267,Total - Labour force activity,460.0,100.0,50.0,45.0,80.0,80.0,85.0,40.0,65.0
1001267,  Total labour force,300.0,40.0,0.0,35.0,65.0,75.0,85.0,25.0,0.0
1001267,    Employed,225.0,40.0,10.0,35.0,35.0,45.0,80.0,15.0,0.0
1001267,    Unemployed,75.0,0.0,0.0,0.0,30.0,30.0,10.0,10.0,0.0
1001267,  Not in the labour force,155.0,60.0,50.0,10.0,10.0,10.0,0.0,20.0,60.0
1001267,Participation rate,65.2,40.0,0.0,77.8,81.2,93.8,100.0,62.5,0.0
1001267,Employment rate,48.9,40.0,20.0,77.8,43.8,56.2,94.1,37.5,0.0
1001267,Unemployment rate,25.0,0.0,0.0,0.0,46.2,40.0,11.8,40.0,0.0
1001270,Total - Labour force activity,940.0,180.0,80.0,95.0,185.0,185.0,160.0,95.0,135.0
1001270,  Total labour force,570.0,80.0,20.0,60.0,165.0,150.0,125.0,45.0,0.0
1001270,    Employed,460.0,40.0,10.0,25.0,125.0,140.0,105.0,45.0,0.0
1001270,    Unemployed,110.0,40.0,10.0,30.0,35.0,10.0,15.0,0.0,0.0
1001270,  Not in the labour force,365.0,95.0,55.0,35.0,25.0,35.0,35.0,45.0,130.0
1001270,Participation rate,60.6,44.4,25.0,63.2,89.2,81.1,78.1,47.4,0.0
1001270,Employment rate,48.9,22.2,12.5,26.3,67.6,75.7,65.6,47.4,0.0
1001270,Unemployment rate,19.3,50.0,50.0,50.0,21.2,6.7,12.0,0.0,0.0
1001274,Total - Labour force activity,235.0,45.0,25.0,20.0,60.0,50.0,50.0,0.0,20.0
1001274,  Total labour force,145.0,20.0,0.0,20.0,45.0,40.0,35.0,0.0,0.0
1001274,    Employed,125.0,10.0,0.0,10.0,45.0,35.0,30.0,0.0,0.0
1001274,    Unemployed,20.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0
1001274,  Not in the labour force,90.0,30.0,25.0,0.0,10.0,0.0,20.0,0.0,15.0
1001274,Participation rate,61.7,44.4,0.0,100.0,75.0,80.0,70.0,0.0,0.0
1001274,Employment rate,53.2,22.2,0.0,50.0,75.0,70.0,60.0,0.0,0.0
1001274,Unemployment rate,13.8,50.0,0.0,50.0,0.0,25.0,0.0,0.0,0.0
1001277,Total - Labour force activity,530.0,135.0,75.0,60.0,55.0,125.0,100.0,60.0,45.0
1001277,  Total labour force,275.0,55.0,15.0,40.0,40.0,90.0,70.0,20.0,0.0
